DateTime,AddedIPs,RemovedIPs
1556497697,2,3
1556499684,4,7
1556501570,3,6
1556503481,5,14
1556505397,4,3
1556507321,3,3
1556509225,6,1
1556511143,7,3
1556513077,5,4
1556514987,5,1
1556516916,3,6
1556518834,2,6
1556520797,3,4
1556522655,0,3
1556524572,4,1
1556526774,8,0
1556528686,0,3
1556530577,5,4
1556532512,2,2
1556534441,1,2
1556536353,7,6
1556538279,2,6
1556540182,1,3
1556542102,3,2
1556544018,4,2
1556545948,4,4
1556547878,1,4
1556549789,2,1
1556551714,5,5
1556554574,3,4
1556556495,3,2
1556558417,2,3
1556560370,5,2
1556562252,5,9
1556564179,7,9
1556566110,5,2
1556569004,3,6
1556570918,4,3
1556572858,5,2
1556574736,5,6
1556576692,4,4
1556578650,5,5
1556580499,5,6
1556582463,4,2
1556584350,4,3
1556586271,2,3
1556588459,6,4
1556590336,3,4
1556592261,9,4
1556594197,6,3
1556596099,2,7
1556598010,5,5
1556599947,5,5
1556601877,4,7
1556603773,4,1
1556605733,3,1
1556607640,1,3
1556609540,5,1
1556611510,3,4
1556613371,3,6
1556615551,3,3
1556617470,2,7
1556620388,82,2
1556622534,73,6
1556624417,4,3
1556626332,2,3
1556628279,2,2
1556630170,2,6
1556632101,4,5
1556634035,2,2
1556635959,2,3
1556638126,0,7
1556640042,2,0
1556641944,5,6
1556643886,2,3
1556645785,0,1
1556647701,6,7
1556649630,7,13
1556651553,5,5
1556653456,4,5
1556655376,3,2
1556657323,6,6
1556659219,6,4
1556661373,5,6
1556663295,0,1
1556665226,1,3
1556668068,3,8
1556670007,3,1
1556671956,6,2
1556673855,1,4
1556675796,3,3
1556677707,7,5
1556679702,6,8
1556681538,1,6
1556683453,4,1
1556685379,4,0
1556687311,1,5
1556689211,3,4
1556691142,1,3
1556693072,2,2
1556694978,4,4
1556696901,3,4
1556698828,3,2
1556700745,3,2
1556702663,5,4
1556704588,3,2
1556706505,1,3
1556709524,4,7
1556711532,5,2
1556713462,3,5
1556715372,1,3
1556717562,7,6
1556719481,3,3
1556721379,0,1
1556725213,7,3
1556727140,0,2
1556729076,3,2
1556730975,2,2
1556732899,7,5
1556734818,4,4
1556736750,3,6
1556738659,1,4
1556740584,7,4
1556742526,3,2
1556745383,4,12
1556747292,4,6
