DateTime,AddedIPs,RemovedIPs
1556503281,10,7
1556505143,14,6
1556507104,6,6
1556508969,13,3
1556510910,10,0
1556512819,22,9
1556514756,11,2590
1556516655,11,9
1556518587,14,12
1556520496,12,241
1556522463,67,410
1556524373,15,14
1556526256,17,10
1556528178,15,15
1556530110,18,364
1556532993,26,12
1556534804,12,14
1556536835,236,12
1556538730,18,7
1556540663,11,13
1556542594,20,102
1556544502,15,71
1556547389,23,3
1556549295,9,5
1556551219,9,6
1556553158,14,11
1556555075,12,26
1556556981,14,22
1556558917,12,21
1556561794,87,16
1556563693,6,11
1556565618,13,85
1556567553,16,4
1556569453,16,12
1556571378,96,19
1556573296,14,31
1556576173,28,36
1556578654,20,260
1556580504,17,5
1556582570,16,17
1556584571,13,17
1556586541,21,16
1556588464,12,18
1556590341,10,13
1556592282,16,14
1556594214,11,17
1556596103,10,16
1556598015,15,15
1556599951,21,67
1556601891,14,14
1556603778,12,11
1556605738,79,18
1556607736,9,14
1556609545,11,17
1556611528,9,13
1556613389,13,16
1556615583,19,16
1556617549,14,15
1556619390,17,18
1556621308,54,17
1556623262,13,57
1556625167,18,188
1556627055,56,15
1556629013,15,20
1556630895,10,16
1556632909,14,19
1556634809,14,13
1556636690,11,11
1556638585,18,6
1556640518,12,16
1556642471,8,8
1556644337,8,15
1556646266,17,71
1556648201,14,21
1556650098,14,6
1556652013,17,11
1556653934,19,18
1556655910,21,16
1556657773,18,94
1556659693,12,14
1556661750,10,27
1556663566,105,28
1556665499,19,15
1556668072,29,23
1556670012,19,13
1556671961,11,13
1556673860,22,15
1556675801,5,10
1556677726,16,12
1556679783,17,14
1556681808,632,10
1556683712,14,12
1556685639,554,18
1556687541,31,14
1556689469,1086,9
1556691386,8,6
1556693303,2332,64
1556695227,575,4
1556697133,260,5
1556699060,5,3
1556700990,4,9
1556702891,8,7
1556704911,8,9
1556706761,85,46
1556708691,863,3
1556710582,6,7
1556712513,2,42
1556714431,7,4
1556716348,7,8
1556718255,2,3
1556720191,14,7
1556722103,5,7
1556724047,5,4
1556725950,7,5
1556727869,8,6
1556729793,8,2
1556731693,8,6
1556733725,7,4
1556735555,8,9
1556737477,5,9
1556739381,3,8
1556741318,2,8
1556743164,3,18
1556745145,1,5
1556747071,3,1
1556750441,13,61
1556752335,3,5
1556754298,1,8
1556756185,2,10
1556758373,1,9
1556760262,1,6
1556762209,0,4
1556764103,3,6
1556766140,3,6
1556767964,3,480
1556769910,2,5
1556771797,3,390
1556773725,0,92
1556775617,4,449
1556777803,2,41
1556779703,3,2008
1556781649,4,427
1556783562,96,140
1556785494,127,8
1556787387,0,7
1556789336,9,14
1556791349,1,16
1556793397,4,192
1556795293,5,1387
1556797239,3,9
1556799145,2,8
1556801059,2,18
1556802978,3,8
1556805171,4,11
1556807057,3,16
1556810189,5,15
1556812100,2,13
1556814009,0,18
1556815947,1237,12
1556817870,5,16
1556819776,6,17
1556821696,4,11
1556823651,9,8
1556825560,10,3
1556827486,2,3
1556829376,9,2
1556831318,8,3
1556833210,9,3
1556835671,9,3
1556837535,7,11
1556839461,4,6
1556841391,22,1
1556843301,7,2
1556845360,8,1
1556847376,11,1
1556849311,13,1
1556851228,10,5
1556853164,11,2
1556855054,10,3
1556856974,11,3
1556858914,8,1
1556860829,9,3
1556862739,8,1
1556864661,7,4
1556866571,16,409
1556868491,76,207
1556871376,72,21
1556873308,626,1
1556875225,10,7
1556877128,10,2
1556879060,5,2
1556880996,14,6
1556882942,12,3
1556885796,18,3
1556887699,12,1
1556889640,10,3
1556891849,12,5
1556893729,13,2
1556895630,16,3
1556897534,9,2
1556899482,8,1
1556901369,8,577
1556903300,11,751
1556905241,55,6
1556907134,3,7
1556909051,5,8
1556910984,23,10
1556912894,21,6
1556914838,28,2
1556916748,45,10
1556918670,21,9
1556920578,11,5
1556923166,17,11
