DateTime,Entries,UniqueIPs
1556503281,4824,4824
1556505143,4832,4832
1556507104,4832,4832
1556508969,4842,4842
1556510910,4852,4852
1556512819,4865,4865
1556514756,2286,2286
1556516655,2288,2288
1556518587,2290,2290
1556520496,2061,2061
1556522463,1718,1718
1556524373,1719,1719
1556526256,1726,1726
1556528178,1726,1726
1556530110,1380,1380
1556532993,1394,1394
1556534804,1392,1392
1556536835,1616,1616
1556538730,1627,1627
1556540663,1625,1625
1556542594,1543,1543
1556544502,1487,1487
1556547389,1507,1507
1556549295,1511,1511
1556551219,1514,1514
1556553158,1517,1517
1556555075,1503,1503
1556556981,1495,1495
1556558917,1486,1486
1556561794,1557,1557
1556563693,1552,1552
1556565618,1480,1480
1556567553,1492,1492
1556569453,1496,1496
1556571378,1573,1573
1556573296,1556,1556
1556576173,1548,1548
1556578654,1308,1308
1556580504,1320,1320
1556582570,1319,1319
1556584571,1315,1315
1556586541,1320,1320
1556588464,1314,1314
1556590341,1311,1311
1556592282,1313,1313
1556594214,1307,1307
1556596103,1301,1301
1556598015,1301,1301
1556599951,1255,1255
1556601891,1255,1255
1556603778,1256,1256
1556605738,1317,1317
1556607736,1312,1312
1556609545,1306,1306
1556611528,1302,1302
1556613389,1299,1299
1556615583,1302,1302
1556617549,1301,1301
1556619390,1300,1300
1556621308,1337,1337
1556623262,1293,1293
1556625167,1123,1123
1556627055,1164,1164
1556629013,1159,1159
1556630895,1153,1153
1556632909,1148,1148
1556634809,1149,1149
1556636690,1149,1149
1556638585,1161,1161
1556640518,1157,1157
1556642471,1157,1157
1556644337,1150,1150
1556646266,1096,1096
1556648201,1089,1089
1556650098,1097,1097
1556652013,1103,1103
1556653934,1104,1104
1556655910,1109,1109
1556657773,1033,1033
1556659693,1031,1031
1556661750,1014,1014
1556663566,1091,1091
1556665499,1095,1095
1556668072,1101,1101
1556670012,1107,1107
1556671961,1105,1105
1556673860,1112,1112
1556675801,1107,1107
1556677726,1111,1111
1556679783,1114,1114
1556681808,1736,1736
1556683712,1738,1738
1556685639,2274,2274
1556687541,2291,2291
1556689469,3368,3368
1556691386,3370,3370
1556693303,5638,5638
1556695227,6209,6209
1556697133,6464,6464
1556699060,6466,6466
1556700990,6461,6461
1556702891,6462,6462
1556704911,6461,6461
1556706761,6500,6500
1556708691,7360,7360
1556710582,7359,7359
1556712513,7319,7319
1556714431,7322,7322
1556716348,7321,7321
1556718255,7320,7320
1556720191,7327,7327
1556722103,7325,7325
1556724047,7326,7326
1556725950,7328,7328
1556727869,7330,7330
1556729793,7336,7336
1556731693,7338,7338
1556733725,7341,7341
1556735555,7340,7340
1556737477,7336,7336
1556739381,7331,7331
1556741318,7325,7325
1556743164,7310,7310
1556745145,7306,7306
1556747071,7308,7308
1556750441,7260,7260
1556752335,7258,7258
1556754298,7251,7251
1556756185,7243,7243
1556758373,7235,7235
1556760262,7230,7230
1556762209,7226,7226
1556764103,7223,7223
1556766140,7220,7220
1556767964,6743,6743
1556769910,6740,6740
1556771797,6353,6353
1556773725,6261,6261
1556775617,5816,5816
1556777803,5777,5777
1556779703,3772,3772
1556781649,3349,3349
1556783562,3305,3305
1556785494,3424,3424
1556787387,3417,3417
1556789336,3412,3412
1556791349,3397,3397
1556793397,3209,3209
1556795293,1827,1827
1556797239,1821,1821
1556799145,1815,1815
1556801059,1799,1799
1556802978,1794,1794
1556805171,1787,1787
1556807057,1774,1774
1556810189,1764,1764
1556812100,1753,1753
1556814009,1735,1735
1556815947,2960,2960
1556817870,2949,2949
1556819776,2938,2938
1556821696,2931,2931
1556823651,2932,2932
1556825560,2939,2939
1556827486,2938,2938
1556829376,2945,2945
1556831318,2950,2950
1556833210,2956,2956
1556835671,2962,2962
1556837535,2958,2958
1556839461,2956,2956
1556841391,2977,2977
1556843301,2982,2982
1556845360,2989,2989
1556847376,2999,2999
1556849311,3011,3011
1556851228,3016,3016
1556853164,3025,3025
1556855054,3032,3032
1556856974,3040,3040
1556858914,3047,3047
1556860829,3053,3053
1556862739,3060,3060
1556864661,3063,3063
1556866571,2670,2670
1556868491,2539,2539
1556871376,2590,2590
1556873308,3215,3215
1556875225,3218,3218
1556877128,3226,3226
1556879060,3229,3229
1556880996,3237,3237
1556882942,3246,3246
1556885796,3261,3261
1556887699,3272,3272
1556889640,3279,3279
1556891849,3286,3286
1556893729,3297,3297
1556895630,3310,3310
1556897534,3317,3317
1556899482,3324,3324
1556901369,2755,2755
1556903300,2015,2015
1556905241,2064,2064
1556907134,2060,2060
1556909051,2057,2057
1556910984,2070,2070
1556912894,2085,2085
1556914838,2111,2111
1556916748,2146,2146
1556918670,2158,2158
1556920578,2164,2164
1556923166,2170,2170
1556925131,2172,2172
1556927078,2169,2169
1556928993,2172,2172
1556930893,2175,2175
1556932825,2175,2175
1556934748,2183,2183
1556936655,2198,2198
1556938577,2223,2223
1556940488,2245,2245
1556942473,2247,2247
1556944360,2248,2248
1556946293,2247,2247
1556948422,2250,2250
1556950344,2259,2259
1556952285,2260,2260
1556954188,2260,2260
1556956131,2257,2257
1556958044,2260,2260
1556959957,1636,1636
1556961869,1639,1639
1556963778,1655,1655
1556965974,1661,1661
1556967916,1656,1656
1556969783,1662,1662
1556971651,1655,1655
1556973615,2002,2002
1556975560,2301,2301
1556977464,2300,2300
1556979391,3054,3054
1556981301,4029,4029
1556983236,4911,4911
1556985171,5753,5753
1556987057,6521,6521
1556988986,7438,7438
1556990915,8225,8225
1556992918,9065,9065
1556994761,9871,9871
1556996675,10673,10673
1556998587,11505,11505
1557000521,12071,12071
1557002433,12050,12050
1557004352,12041,12041
1557006254,12052,12052
1557008205,12057,12057
1557010120,12063,12063
1557012012,12066,12066
1557013957,12068,12068
1557015854,12070,12070
1557017784,12072,12072
1557019737,12092,12092
1557021654,12100,12100
1557023562,12095,12095
1557025482,12095,12095
1557027383,12085,12085
1557029311,12085,12085
1557031231,12046,12046
1557033144,12047,12047
1557035055,12047,12047
1557036995,12049,12049
1557038902,12031,12031
1557040809,11980,11980
1557042749,12070,12070
1557044658,12067,12067
1557046568,12069,12069
1557048498,12067,12067
1557050476,12057,12057
1557052362,12061,12061
1557054265,12235,12235
1557056193,12283,12283
1557058124,12352,12352
1557060049,12350,12350
1557061940,12351,12351
1557063853,12348,12348
1557065795,12347,12347
1557067704,12340,12340
1557069640,12340,12340
1557071532,12336,12336
1557073461,12332,12332
1557075391,12327,12327
1557077294,12326,12326
1557080174,12321,12321
1557082112,12324,12324
1557084011,13608,13608
1557085940,17410,17410
1557087853,18330,18330
1557089788,18328,18328
1557091706,18364,18364
1557093652,18395,18395
1557095556,18389,18389
1557097481,18391,18391
1557099390,18391,18391
1557101306,18401,18401
1557103211,18400,18400
1557105136,18399,18399
1557107081,18397,18397
1557108984,18393,18393
1557110896,18388,18388
1557112846,18388,18388
1557114750,18388,18388
1557116648,18389,18389
1557118574,18394,18394
1557120507,18387,18387
1557122471,18390,18390
1557124345,18421,18421
1557126280,18329,18329
1557128171,18146,18146
1557130101,18120,18120
1557132031,18150,18150
1557133948,18153,18153
1557135852,18151,18151
1557137774,18158,18158
1557139702,18161,18161
1557141614,17949,17949
1557143542,17600,17600
1557145458,16940,16940
1557147402,16250,16250
1557149292,15683,15683
1557152194,14749,14749
1557154127,14030,14030
1557156016,13411,13411
1557157953,12778,12778
1557159852,12147,12147
1557161769,11528,11528
1557163700,10865,10865
1557165661,10132,10132
1557167682,9826,9826
1557169695,9825,9825
1557171609,4421,4421
1557173530,1276,1276
1557175469,1276,1276
1557177382,1286,1286
1557179316,982,982
1557181210,980,980
1557183162,981,981
1557185068,988,988
1557186978,981,981
1557188795,984,984
1557190884,991,991
1557193234,988,988
1557195177,986,986
1557197089,989,989
1557199003,1003,1003
1557200922,1014,1014
1557202847,1019,1019
1557204891,990,990
1557206902,990,990
1557208866,989,989
1557210762,915,915
1557212658,913,913
1557214579,875,875
1557216524,872,872
1557218419,875,875
1557220349,818,818
1557222303,820,820
1557224177,808,808
1557226111,810,810
1557228019,1232,1232
1557229987,1952,1952
1557231893,2030,2030
1557233934,2033,2033
1557235954,2042,2042
1557237908,2041,2041
1557239812,2040,2040
1557241699,2100,2100
1557243614,2185,2185
1557245541,2187,2187
1557247452,2190,2190
1557249374,2187,2187
1557251301,2190,2190
1557253212,2186,2186
1557255131,2179,2179
1557257060,2171,2171
1557258972,2171,2171
1557260891,2187,2187
1557262871,2195,2195
1557264738,2230,2230
1557266681,2275,2275
1557268583,2897,2897
1557270494,2886,2886
1557272414,2880,2880
1557274354,2881,2881
1557276258,2866,2866
1557278181,2864,2864
1557280113,2862,2862
1557282032,2867,2867
1557283950,2874,2874
1557285867,2893,2893
1557287773,2907,2907
1557289696,2900,2900
1557291654,2915,2915
1557293536,3043,3043
1557295460,3214,3214
1557297380,3214,3214
1557299310,3216,3216
1557301232,3215,3215
1557303151,3257,3257
1557305075,3267,3267
1557306984,3271,3271
1557308920,3283,3283
1557310812,3294,3294
1557312733,3298,3298
1557314672,2795,2795
1557316581,2140,2140
1557318515,2125,2125
1557320462,2128,2128
1557322338,2123,2123
1557324315,2129,2129
1557326175,2125,2125
1557328221,2105,2105
1557330286,2004,2004
1557332172,2007,2007
1557334100,2002,2002
1557336009,2010,2010
1557339100,2012,2012
1557341057,2023,2023
1557343011,2033,2033
1557344925,2029,2029
1557346828,1999,1999
1557348778,1994,1994
1557350681,1979,1979
1557352574,1923,1923
1557355549,1239,1239
1557357389,1245,1245
1557359258,1251,1251
1557361317,1262,1262
1557363138,1266,1266
1557365072,1269,1269
1557367004,1268,1268
1557369153,1261,1261
1557371339,1251,1251
1557373239,1223,1223
1557375175,1214,1214
1557377085,1214,1214
1557378999,1217,1217
1557381153,906,906
1557383058,911,911
1557384974,865,865
1557386926,867,867
1557388986,769,769
1557390974,762,762
1557392917,755,755
1557394813,738,738
1557396997,725,725
1557398897,724,724
1557400842,727,727
1557402762,726,726
1557404659,728,728
1557406582,728,728
1557408694,734,734
1557410708,736,736
1557412585,803,803
1557414523,846,846
1557416418,1620,1620
1557418586,1616,1616
1557420497,1620,1620
1557422456,1614,1614
1557424331,1615,1615
1557426497,1617,1617
1557428487,1626,1626
1557430366,1630,1630
1557432289,1634,1634
1557434205,1638,1638
1557436130,1630,1630
1557438018,1633,1633
1557439940,1638,1638
1557442385,1637,1637
1557444281,1633,1633
1557446179,1634,1634
1557448116,1629,1629
1557450999,8709,8709
1557452902,10088,10088
1557454834,10092,10092
1557456737,10086,10086
1557458698,10091,10091
1557460580,10094,10094
1557462504,10098,10098
1557464495,10097,10097
1557466384,10096,10096
1557468297,10102,10102
1557470179,10102,10102
1557472137,10097,10097
1557474021,10091,10091
1557475941,10090,10090
1557477906,10090,10090
1557479781,10092,10092
1557481700,10093,10093
1557483643,10102,10102
