DateTime,AddedIPs,RemovedIPs
1556508521,22,92
1556511387,68,126
1556513296,44,91
1556515216,50,91
1556517148,45,83
1556519053,101,96
1556521008,30,111
1556522904,52,114
1556525810,157,203
1556527701,110,132
1556529630,100,122
1556531566,86,112
1556533457,58,91
1556535387,75,94
1556537298,103,113
1556539366,243,134
1556541633,449,198
1556543560,373,175
1556545460,376,176
1556547408,404,181
1556549304,395,138
1556551227,130,119
1556553160,141,168
1556555076,112,130
1556556989,109,100
1556558919,127,80
1556560917,128,43
1556562784,123,38
1556564703,148,52
1556566578,135,1486
1556568508,118,2403
1556570446,167,2621
1556572590,198,1223
1556574493,152,41
1556576434,120,41
1556578686,574,54
1556580511,438,63
1556582580,431,30
1556584603,640,29
1556586547,505,32
1556588470,505,33
1556590348,471,39
1556592295,368,27
1556594220,414,22
1556596109,222,36
1556598022,86,49
1556599957,81,38
1556601926,278,45
1556603784,441,51
1556605753,522,100
1556607747,548,32
1556609552,447,48
1556611563,411,87
1556613418,405,76
1556615622,378,85
1556617629,306,76
1556619657,305,41
1556621572,291,72
1556623468,294,56
1556625383,361,164
1556627306,337,284
1556629285,214,343
1556631171,304,307
1556633366,361,399
1556635256,334,323
1556637163,267,107
1556639083,343,89
1556641006,383,62
1556642898,383,75
1556644867,387,98
1556646764,355,64
1556648665,327,96
1556650592,286,100
1556652535,293,94
1556654498,316,102
1556656352,300,87
1556658289,270,154
1556660216,279,111
1556662156,302,89
1556664056,297,167
1556665939,242,203
1556668079,301,200
1556670019,238,271
1556671969,307,361
1556673866,285,260
1556675808,317,221
1556677732,282,236
1556679794,262,223
1556681815,220,266
1556683720,119,296
1556685647,133,258
1556687553,145,274
1556689490,85,284
1556691400,103,222
1556693319,78,231
1556695234,68,221
1556697139,42,382
1556699067,65,376
1556700996,66,358
1556702899,74,282
1556704959,79,307
1556706781,62,276
1556708700,54,259
1556710597,58,313
1556712519,49,471
1556714437,60,390
1556716355,55,362
1556718268,61,451
1556720198,59,278
1556722110,75,314
1556724054,79,242
1556725957,68,281
1556727877,61,309
1556729800,65,354
1556731700,65,283
1556733751,58,397
1556735562,69,280
1556737491,71,352
1556739388,48,415
1556741326,57,525
1556743188,48,501
1556745158,52,459
1556747076,38,434
1556750450,82,863
1556752349,38,452
1556754305,45,508
1556756192,55,401
1556758379,71,592
1556760268,62,506
1556762216,40,587
1556764109,56,473
1556766155,54,487
1556767971,52,374
1556769927,67,140
1556771803,94,126
1556773732,141,169
1556775624,164,86
1556777817,131,115
1556779710,127,85
1556781682,213,78
1556783585,340,52
1556785500,252,83
1556787426,262,76
1556789362,259,66
1556791384,157,79
