DateTime,AddedIPs,RemovedIPs
1556508523,25,54
1556510483,30,28
1556512367,45,21
1556514281,45,33
1556516193,40,20
1556518111,29,26
1556520047,30,31
1556521941,28,39
1556523884,93,48
1556525812,129,54
1556527703,141,51
1556529632,116,37
1556531568,95,27
1556533459,66,23
1556535389,100,26
1556537301,59,41
1556539374,134,42
1556541635,356,120
1556543563,311,97
1556545462,290,120
1556547410,330,89
1556549306,298,60
1556551229,50,59
1556553162,33,100
1556555078,18,36
1556556991,32,45
1556558921,59,72
1556560967,33,33
1556562786,38,33
1556564704,76,46
1556566580,57,29
1556568510,31,44
1556570448,73,45
1556572595,111,61
1556574494,57,33
1556576440,49,36
1556578712,67,50
1556580513,43,44
1556582582,85,21
1556584605,262,36
1556586548,150,29
1556588472,107,27
1556590350,113,21
1556592299,46,23
1556594221,71,20
1556596110,71,32
1556598025,42,42
1556599958,34,41
1556601928,40,38
1556603785,80,22
1556605754,213,31
1556607749,213,26
1556609558,130,47
1556611564,42,133
1556613434,36,121
1556615629,149,116
1556617641,117,127
1556619670,115,63
1556621573,109,105
1556623470,131,53
1556625385,84,112
1556627307,36,256
1556629300,139,342
1556631176,19,264
1556633376,111,363
1556635260,107,272
1556637165,31,63
1556639085,29,35
1556641008,20,14
1556642900,32,27
1556644870,36,58
1556646766,36,28
1556648676,28,36
1556650597,17,54
1556652570,26,53
1556654502,58,45
1556656353,33,38
1556658290,25,110
1556660218,21,67
1556662158,25,40
1556664057,16,49
1556665940,21,44
1556668080,25,59
1556670021,37,170
1556671971,63,226
1556673871,77,149
1556675810,149,91
1556677734,110,104
1556679800,69,69
1556681821,121,118
1556683721,76,61
1556685651,51,40
1556687556,77,51
1556689492,54,53
1556691402,61,32
1556693321,23,40
1556695238,18,45
1556697141,15,60
1556699070,20,31
1556700998,28,125
1556702902,24,115
1556704962,46,117
1556706783,49,117
1556708703,22,104
1556710599,24,155
1556712521,20,163
1556714440,17,197
1556716356,15,231
1556718269,20,188
1556720200,12,124
1556722112,26,92
1556724056,39,32
1556725962,22,23
1556727879,21,19
1556729805,18,30
1556731703,22,34
1556733753,14,44
1556735564,24,19
1556737493,18,21
1556739393,13,31
1556741328,21,52
1556743192,20,34
1556745159,17,20
1556747078,17,30
1556750454,34,30
1556752352,6,20
1556754307,15,23
1556756194,21,36
1556758382,33,75
1556760270,21,81
1556762218,20,172
1556764111,19,113
1556766158,19,81
1556767973,18,122
1556769931,29,94
1556771805,80,49
1556773734,124,81
1556775625,139,56
1556777819,97,73
1556779712,106,18
1556781694,181,18
1556783590,200,17
1556785502,225,21
1556787428,250,30
1556789377,227,24
1556791386,123,47
1556793413,87,47
1556795301,31,19
1556797246,40,23
1556799161,27,18
1556801075,23,17
1556802987,31,18
1556806339,43,23
1556808272,15,27
1556810201,13,36
1556812106,20,24
1556814016,21,24
1556815953,23,19
1556817878,21,18
1556819781,23,21
1556821702,27,20
1556823735,28,21
1556825569,22,11
1556827516,23,21
1556829382,35,19
1556831323,19,14
1556833233,28,15
1556835682,24,26
1556837540,37,16
1556839467,34,9
1556841398,24,20
1556843309,33,18
1556845368,40,32
1556847384,41,16
1556849318,16,25
1556851236,26,13
1556853185,20,20
1556855064,15,15
1556856980,16,43
1556858919,22,115
1556860835,16,143
1556862756,26,123
1556864690,133,69
1556866577,168,101
1556868510,216,190
1556870518,251,207
1556872360,244,215
1556874174,244,241
1556876190,222,231
1556878108,196,105
1556880026,177,69
1556881938,177,33
1556883861,176,33
1556885809,173,23
1556887702,147,21
1556889658,112,36
1556891853,35,33
1556893733,22,12
1556895707,27,16
1556897538,22,15
1556899486,27,18
1556901374,25,18
1556903305,37,16
1556905246,22,23
1556907152,20,18
1556909054,8,27
1556910987,20,29
1556912896,21,27
1556914841,18,32
1556916752,6,9
1556918672,26,32
1556920582,18,19
1556923174,32,29
1556925140,18,36
1556927085,15,29
1556929001,14,31
1556930902,25,26
1556932849,29,57
1556934773,25,26
1556936663,26,19
1556938593,23,29
1556940495,15,17
1556942557,18,23
1556944367,16,18
1556946304,13,16
1556948432,22,19
1556950351,13,96
1556952291,19,155
1556954194,22,200
1556956137,15,262
1556958051,12,242
1556959968,17,275
1556961875,10,208
1556963789,15,203
1556965990,42,215
1556967929,93,179
1556969789,90,171
1556971657,105,165
1556973622,131,165
1556975566,83,117
1556977472,98,52
1556979401,64,32
1556981310,54,24
1556983245,88,25
1556985177,47,26
1556987063,42,28
1556988993,40,43
1556990921,24,25
1556992936,26,19
1556994771,15,14
1556996687,21,11
1556998603,29,24
1557000528,29,13
1557002440,26,21
1557004362,22,16
1557006261,42,28
1557008221,31,18
1557010128,15,22
1557012020,15,16
1557013964,28,16
1557015861,18,13
1557017791,41,29
1557019745,40,34
1557021756,28,26
1557023568,42,22
1557025495,19,26
1557027391,27,20
1557029320,24,20
1557031237,26,14
1557033152,21,15
1557035061,13,19
1557037001,13,16
1557038909,21,18
1557040820,16,22
1557042759,13,18
1557044666,13,8
1557046575,14,16
1557048505,22,7
1557050542,32,17
1557052368,19,39
1557054272,30,84
1557056200,15,95
1557058135,24,102
1557060056,23,124
1557061951,12,87
1557063861,17,102
1557065802,32,62
1557067711,50,55
1557069656,33,100
1557071539,61,41
1557073468,65,43
1557075398,48,39
1557077303,23,24
1557079346,40,24
1557081175,28,17
1557083153,45,25
1557085021,39,30
1557086933,43,28
1557088857,32,29
1557090774,35,21
1557092686,32,39
1557094604,17,34
1557096548,24,17
1557098443,19,15
1557100340,19,31
1557102294,47,22
1557104195,29,46
1557106102,38,39
1557108164,26,33
1557109974,15,45
1557111901,19,22
1557114059,19,29
1557115944,18,24
1557117871,11,24
1557119807,23,20
1557121701,16,11
1557123657,32,18
1557125570,13,16
1557127468,16,22
1557129382,16,12
1557131321,23,16
1557134204,26,35
1557136111,24,20
1557138043,20,23
1557139937,22,26
1557141884,25,20
1557143775,20,16
1557145694,29,27
1557147696,25,17
1557149587,37,18
1557151755,58,28
1557153752,48,48
1557155577,27,25
1557157489,29,58
1557159410,39,60
1557161313,37,45
1557163227,28,26
1557165114,30,33
1557167080,42,41
1557169002,25,28
1557170926,22,47
1557172935,33,38
1557174775,50,38
1557176703,24,32
1557178583,32,26
1557180535,43,21
1557182459,43,24
1557184372,35,16
1557186649,43,30
1557188801,40,44
1557190971,40,30
1557193240,51,44
1557195195,38,22
1557197115,35,19
1557199009,36,21
1557200929,27,17
1557202855,27,15
1557204896,23,16
1557206909,25,21
1557208920,22,29
1557210768,118,17
1557212685,131,19
1557214596,128,18
1557216540,134,19
1557218433,127,18
1557220355,125,19
1557222321,131,25
1557224192,115,18
1557226159,149,28
1557228050,137,22
1557229993,134,16
1557231926,120,25
1557233942,136,29
1557235973,123,41
1557237961,122,59
1557239843,117,35
1557241708,115,39
1557243622,13,25
1557245549,12,53
1557247461,24,37
1557249384,17,29
1557251315,17,29
1557253220,34,40
1557255149,38,27
1557257068,26,25
1557258981,29,31
1557260898,24,51
1557262974,41,28
1557264981,30,27
1557266899,22,36
1557268813,24,40
1557270741,45,38
1557272673,17,37
1557274836,33,35
1557276741,25,44
1557278689,25,45
1557280578,21,34
1557282501,43,37
1557285403,46,56
1557287305,35,27
1557289216,25,25
1557291137,36,22
1557293077,57,20
1557294971,40,14
1557296891,34,114
