DateTime,Entries,UniqueIPs
1556508523,2239,2239
1556510483,2241,2241
1556512367,2265,2265
1556514281,2277,2277
1556516193,2297,2297
1556518111,2300,2300
1556520047,2299,2299
1556521941,2288,2288
1556523884,2333,2333
1556525812,2408,2408
1556527703,2498,2498
1556529632,2577,2577
1556531568,2645,2645
1556533459,2688,2688
1556535389,2762,2762
1556537301,2780,2780
1556539374,2872,2872
1556541635,3108,3108
1556543563,3322,3322
1556545462,3492,3492
1556547410,3733,3733
1556549306,3971,3971
1556551229,3962,3962
1556553162,3895,3895
1556555078,3877,3877
1556556991,3864,3864
1556558921,3851,3851
1556560967,3851,3851
1556562786,3856,3856
1556564704,3886,3886
1556566580,3914,3914
1556568510,3901,3901
1556570448,3929,3929
1556572595,3979,3979
1556574494,4003,4003
1556576440,4016,4016
1556578712,4033,4033
1556580513,4032,4032
1556582582,4096,4096
1556584605,4322,4322
1556586548,4443,4443
1556588472,4523,4523
1556590350,4615,4615
1556592299,4638,4638
1556594221,4689,4689
1556596110,4728,4728
1556598025,4728,4728
1556599958,4721,4721
1556601928,4723,4723
1556603785,4781,4781
1556605754,4963,4963
1556607749,5150,5150
1556609558,5233,5233
1556611564,5142,5142
1556613434,5057,5057
1556615629,5090,5090
1556617641,5080,5080
1556619670,5132,5132
1556621573,5136,5136
1556623470,5214,5214
1556625385,5186,5186
1556627307,4966,4966
1556629300,4763,4763
1556631176,4518,4518
1556633376,4266,4266
1556635260,4101,4101
1556637165,4069,4069
1556639085,4063,4063
1556641008,4069,4069
1556642900,4074,4074
1556644870,4052,4052
1556646766,4060,4060
1556648676,4052,4052
1556650597,4015,4015
1556652570,3988,3988
1556654502,4001,4001
1556656353,3996,3996
1556658290,3911,3911
1556660218,3865,3865
1556662158,3850,3850
1556664057,3817,3817
1556665940,3794,3794
1556668080,3760,3760
1556670021,3627,3627
1556671971,3464,3464
1556673871,3392,3392
1556675810,3450,3450
1556677734,3456,3456
1556679800,3456,3456
1556681821,3459,3459
1556683721,3474,3474
1556685651,3485,3485
1556687556,3511,3511
1556689492,3512,3512
1556691402,3541,3541
1556693321,3524,3524
1556695238,3497,3497
1556697141,3452,3452
1556699070,3441,3441
1556700998,3344,3344
1556702902,3253,3253
1556704962,3182,3182
1556706783,3114,3114
1556708703,3032,3032
1556710599,2901,2901
1556712521,2758,2758
1556714440,2578,2578
1556716356,2362,2362
1556718269,2194,2194
1556720200,2082,2082
1556722112,2016,2016
1556724056,2023,2023
1556725962,2022,2022
1556727879,2024,2024
1556729805,2012,2012
1556731703,2000,2000
1556733753,1970,1970
1556735564,1975,1975
1556737493,1972,1972
1556739393,1954,1954
1556741328,1923,1923
1556743192,1909,1909
1556745159,1906,1906
1556747078,1893,1893
1556750454,1897,1897
1556752352,1883,1883
1556754307,1875,1875
1556756194,1860,1860
1556758382,1818,1818
1556760270,1758,1758
1556762218,1606,1606
1556764111,1512,1512
1556766158,1450,1450
1556767973,1346,1346
1556769931,1281,1281
1556771805,1312,1312
1556773734,1355,1355
1556775625,1438,1438
1556777819,1462,1462
1556779712,1550,1550
1556781694,1713,1713
1556783590,1896,1896
1556785502,2100,2100
1556787428,2320,2320
1556789377,2523,2523
1556791386,2599,2599
1556793413,2639,2639
1556795301,2651,2651
1556797246,2668,2668
1556799161,2677,2677
1556801075,2683,2683
1556802987,2696,2696
1556806339,2716,2716
1556808272,2704,2704
1556810201,2681,2681
1556812106,2677,2677
1556814016,2674,2674
1556815953,2678,2678
1556817878,2681,2681
1556819781,2683,2683
1556821702,2690,2690
1556823735,2697,2697
1556825569,2708,2708
1556827516,2710,2710
1556829382,2726,2726
1556831323,2731,2731
1556833233,2744,2744
1556835682,2742,2742
1556837540,2763,2763
1556839467,2788,2788
