DateTime,AddedIPs,RemovedIPs
1556508526,3,0
1556510515,10,1
1556512369,3,4
1556514285,4,6
1556516195,6,3
1556518114,4,4
1556520050,3,7
1556521943,2,14
1556523901,6,7
1556525814,6,8
1556527705,3,5
1556529634,6,8
1556531570,3,5
1556533461,3,12
1556535391,6,4
1556537303,4,4
1556539377,3,6
1556541637,5,9
1556543565,3,7
1556545465,0,2
1556547413,6,2
1556549308,2,3
1556551233,1,2
1556553165,6,5
1556555080,6,6
1556556993,1,5
1556558923,4,4
1556560975,4,11
1556562788,2,7
1556564706,2,7
1556566582,4,7
1556568512,5,8
1556570450,4,4
1556572597,1,4
1556574496,1,14
1556576444,1,9
1556578714,5,7
1556580518,2,9
1556582585,8,4
1556584614,5,6
1556586551,13,5
1556588474,7,4
1556590352,9,7
1556592301,5,7
1556594224,5,3
1556596112,4,6
1556598027,2,7
1556599960,4,3
1556601939,4,6
1556603787,10,6
1556605756,10,0
1556607751,7,5
1556609560,4,3
1556611568,5,6
1556613436,5,5
1556615631,5,5
1556617656,1,5
1556619687,4,3
1556621589,2,6
1556623497,0,4
1556625387,7,2
1556627309,0,5
1556629310,1,3
1556631178,6,1
1556633392,5,5
1556635264,4,2
1556637167,2,2
1556639087,5,6
1556641018,6,6
1556642902,6,1
1556644873,2,4
1556646767,4,4
1556648677,3,1
1556650615,2,3
1556652572,6,4
1556654505,2,3
1556656355,6,4
1556658292,1,3
1556660220,1,0
1556662160,2,1
1556664059,3,2
1556665942,2,5
1556668083,2,4
1556670023,2,9
1556671973,3,7
1556673873,4,12
1556675811,6,3
1556677740,3,9
1556679802,2,8
1556681824,2,2
1556683723,4,4
1556685654,3,2
1556687558,3,5
1556689494,4,7
1556691404,5,9
1556693323,1,11
1556695241,5,3
1556697143,3,6
1556699072,9,4
1556701000,6,7
1556702904,7,1
1556704964,1,4
1556706786,7,2
1556708706,6,1
1556710601,4,3
1556712523,8,4
1556714442,3,0
1556716359,4,2
1556718271,7,6
1556720202,2,4
1556722114,8,4
1556724058,8,2
1556725964,4,7
1556727881,3,5
1556729807,3,6
1556731705,7,2
1556733756,4,5
1556735566,1,1
1556737495,4,2
1556739395,1,6
1556741330,1,2
1556743194,2,6
1556745161,5,2
1556747080,1,1
1556750456,4,4
1556752354,8,2
1556754309,4,2
1556756196,2,2
1556758384,1,3
1556760272,7,4
1556762220,1,6
1556764113,3,3
1556766162,6,2
1556767975,5,1
1556769934,8,4
1556771807,0,4
1556773736,0,3
1556775627,1,3
1556777821,4,6
1556779714,3,1
1556781708,3,6
1556783592,8,2
1556785504,5,9
1556787430,1,6
1556789378,2,7
1556791388,4,2
1556793415,1,6
1556795303,4,6
1556797248,5,6
1556799163,7,6
1556801092,6,3
1556802989,5,5
1556805252,7,6
1556807066,2,4
1556809306,9,10
1556811166,2,4
1556813097,3,4
1556814998,2,3
1556816904,2,4
1556818817,2,7
1556820741,3,4
1556822691,2,0
1556824588,1,4
1556826516,3,1
1556828445,3,1
1556830337,3,3
1556832278,10,4
1556834208,5,1
1556836369,4,2
1556838301,5,8
1556840207,3,5
1556842136,2,3
1556844035,2,1
1556845941,5,4
1556847889,5,3
1556849792,3,4
1556851740,3,3
1556853621,2,5
1556855553,3,7
1556857470,3,4
1556859403,1,0
1556861299,3,0
1556863342,12,2
1556865171,7,5
1556867111,3,3
1556869012,6,6
1556870947,2,6
1556872853,5,2
1556874767,2,2
1556876712,7,4
1556878611,5,2
1556880514,3,1
1556882487,8,6
