DateTime,Entries,UniqueIPs
1556510545,569,569
1556512371,570,570
1556514288,578,578
1556516197,577,577
1556518115,574,574
1556520052,578,578
1556521946,579,579
1556523904,576,576
1556525817,567,567
1556527707,567,567
1556529636,571,571
1556531573,571,571
1556533464,568,568
1556535394,569,569
1556537306,561,561
1556539387,650,650
1556541639,939,939
1556543568,1182,1182
1556545467,1434,1434
1556547415,1653,1653
1556549311,1949,1949
1556551235,1994,1994
1556553167,2028,2028
1556555083,2033,2033
1556556996,2037,2037
1556558926,2034,2034
1556560978,2069,2069
1556562792,2116,2116
1556564709,2147,2147
1556566585,2162,2162
1556568514,2200,2200
1556570452,2225,2225
1556572599,2275,2275
1556574499,2313,2313
1556576447,2319,2319
1556578716,2356,2356
1556580521,2362,2362
1556582588,2362,2362
1556584617,2403,2403
1556586556,2476,2476
1556588476,2503,2503
1556590354,2509,2509
1556592318,2523,2523
1556594227,2544,2544
1556596114,2559,2559
1556598029,2561,2561
1556599962,2562,2562
1556601956,2575,2575
1556603789,2632,2632
1556605765,2823,2823
1556607753,2993,2993
1556609573,3069,3069
1556611570,3073,3073
1556613449,3089,3089
1556615633,3181,3181
1556617671,3283,3283
1556619690,3398,3398
1556621592,3493,3493
1556623499,3607,3607
1556625402,3611,3611
1556627322,3430,3430
1556629313,3277,3277
1556631180,3032,3032
1556633425,2883,2883
1556635266,2703,2703
1556637169,2656,2656
1556639089,2623,2623
1556641020,2660,2660
1556642905,2683,2683
1556644875,2696,2696
1556646770,2686,2686
1556648680,2652,2652
1556650618,2651,2651
1556652574,2641,2641
1556654509,2627,2627
1556656358,2620,2620
1556658295,2577,2577
1556660222,2543,2543
1556662189,2528,2528
1556664070,2508,2508
1556665945,2487,2487
1556668086,2490,2490
1556670026,2467,2467
1556671976,2409,2409
1556673876,2398,2398
1556675814,2385,2385
1556677743,2398,2398
1556679804,2374,2374
1556681828,2364,2364
1556683726,2351,2351
1556685656,2340,2340
1556687560,2329,2329
1556689497,2315,2315
1556691407,2305,2305
1556693341,2303,2303
1556695243,2304,2304
1556697145,2284,2284
1556699075,2277,2277
1556701003,2206,2206
1556702907,2121,2121
1556704967,2014,2014
1556706790,1917,1917
1556708709,1815,1815
1556710604,1701,1701
1556712525,1532,1532
1556714444,1348,1348
1556716361,1147,1147
1556718274,978,978
1556720205,871,871
1556722117,804,804
1556724061,799,799
1556725966,793,793
1556727889,732,732
1556729810,714,714
1556731707,708,708
1556733758,710,710
1556735569,697,697
1556737498,670,670
1556739398,657,657
1556741332,629,629
1556743197,595,595
1556745164,591,591
1556747083,586,586
1556750459,565,565
1556752356,558,558
1556754312,556,556
1556756198,554,554
1556758386,540,540
1556760274,514,514
1556762222,495,495
1556764116,477,477
1556766165,474,474
1556767977,470,470
1556769937,471,471
1556771809,476,476
1556773738,475,475
1556775629,473,473
1556777824,468,468
1556779716,470,470
1556781725,542,542
1556783605,672,672
1556785507,788,788
1556787432,933,933
1556789381,1063,1063
1556791391,1145,1145
1556793417,1199,1199
1556795305,1197,1197
1556797250,1192,1192
1556799165,1187,1187
1556801094,1182,1182
1556802991,1177,1177
1556805254,1185,1185
1556807068,1186,1186
1556809309,1179,1179
1556811169,1178,1178
1556813100,1170,1170
1556815000,1170,1170
1556816907,1175,1175
1556818820,1168,1168
1556820742,1164,1164
1556822694,1162,1162
1556824590,1157,1157
1556826519,1164,1164
1556828448,1164,1164
1556830340,1168,1168
1556832280,1161,1161
1556834211,1154,1154
1556836371,1156,1156
1556838304,1160,1160
1556840210,1159,1159
1556842138,1161,1161
1556844037,1160,1160
1556845943,1159,1159
1556847892,1160,1160
1556849794,1159,1159
1556851743,1163,1163
1556853623,1165,1165
1556855555,1169,1169
1556857473,1171,1171
1556859406,1168,1168
1556861301,1171,1171
1556863373,1216,1216
1556865173,1322,1322
1556867115,1429,1429
1556869014,1422,1422
1556870963,1413,1413
1556872855,1392,1392
1556874781,1351,1351
1556876744,1316,1316
1556878613,1332,1332
1556880516,1441,1441
1556882492,1535,1535
1556884625,1657,1657
1556886841,1782,1782
1556888682,1873,1873
1556890586,1914,1914
1556892781,1917,1917
1556894665,1922,1922
1556896611,1926,1926
1556898522,1924,1924
1556900423,1928,1928
1556902373,1932,1932
1556904266,1924,1924
1556906183,1929,1929
1556908136,1924,1924
1556910169,1927,1927
1556911978,1924,1924
1556913878,1924,1924
1556915781,1925,1925
1556917726,1930,1930
1556919647,1935,1935
1556921543,1940,1940
1556923507,1936,1936
1556925394,1940,1940
1556927305,1940,1940
1556929234,1941,1941
1556931163,1947,1947
1556933069,1954,1954
1556934990,1960,1960
1556936926,1973,1973
1556938962,1970,1970
1556940793,1968,1968
1556942705,1968,1968
1556944584,1958,1958
1556946538,1958,1958
1556948436,1955,1955
1556950355,1883,1883
1556952296,1773,1773
1556954199,1664,1664
1556956142,1545,1545
1556958055,1438,1438
1556959972,1323,1323
1556961879,1234,1234
1556963793,1116,1116
