DateTime,AddedIPs,RemovedIPs
1556510556,1119,27
1556512381,955,42
1556514314,890,40
1556516199,858,39
1556518117,869,45
1556520054,907,47
1556521948,779,39
1556523906,124,46
1556525818,23,26
1556527709,30,42
1556529638,34,37
1556531582,34,38
1556533466,27,38
1556535395,39,65
1556537307,30,49
1556539389,33,446
1556541651,31,896
1556543569,20,75
1556545469,34,60
1556547425,34,31
1556549313,48,54
1556551244,32,56
1556553169,33,52
1556555084,35,50
1556556998,35,37
1556558928,40,35
1556560980,48,36
1556562794,42,30
1556564720,73,47
1556566587,40,891
1556568524,43,43
1556570461,38,63
1556572601,60,49
1556574500,67,27
1556576457,51,38
1556578728,61,52
1556580743,43,44
1556582590,45,458
1556584632,43,1801
1556586557,49,1461
1556588478,50,1594
1556590356,49,1401
1556592329,52,1400
1556594229,53,1282
1556596116,54,1257
1556598031,55,1103
1556599964,59,1222
1556601958,59,1015
1556603791,56,1064
1556605767,66,976
1556607754,83,1028
1556609575,66,419
1556611572,56,101
1556613450,63,79
1556615635,78,81
1556617673,94,78
1556619701,327,82
1556621593,989,58
1556623501,857,62
1556625404,765,59
1556627324,1080,58
1556629315,1118,54
1556631182,881,61
1556633439,476,82
1556635268,350,66
1556637171,625,40
1556639099,668,44
1556641023,576,56
1556642907,616,60
1556644890,618,61
1556646772,685,55
1556648682,550,47
1556650619,637,64
1556652576,721,53
1556654512,244,68
1556656359,49,48
1556658297,69,48
1556660224,63,72
1556662192,82,53
1556664073,49,63
1556665947,57,43
1556668088,43,80
1556670028,53,77
1556671977,66,61
1556673878,56,41
1556675816,56,61
1556677748,56,47
1556679816,62,59
1556681829,595,46
1556683728,1287,50
1556685658,57,53
1556687562,1061,46
1556689499,1417,52
1556691410,608,57
1556693343,43,57
1556695245,39,51
1556697147,39,42
1556699077,45,63
1556701005,48,49
1556702909,44,52
1556704969,56,45
1556706797,41,350
1556708711,53,356
1556710607,35,197
1556712527,50,45
1556714446,59,62
1556716362,38,51
1556718276,47,59
1556720207,58,64
1556722119,111,50
1556724063,70,61
1556725968,52,70
1556727891,52,52
1556729811,52,53
1556731709,53,52
1556733760,79,63
1556735571,96,60
1556737499,298,54
1556739400,207,41
1556741333,165,45
1556743199,132,61
1556745165,140,61
1556747084,94,47
1556750462,128,87
1556752359,71,825
1556754314,61,1218
1556756200,47,1109
1556758388,70,1218
1556760276,50,1068
1556762224,46,915
1556764117,43,650
1556766166,49,1373
1556767979,61,1285
1556769938,80,1414
1556771811,60,1185
1556773740,58,1173
1556775631,65,1431
1556777826,57,819
1556779718,66,52
1556781769,83,56
1556783620,44,51
1556785509,57,44
1556787434,67,35
1556789382,60,53
1556791393,59,52
1556793419,40,63
1556795306,54,60
1556797251,51,60
1556799167,44,45
1556801096,48,47
1556802992,44,49
1556805266,52,67
1556807069,41,148
1556809312,57,80
1556811172,57,57
1556813101,57,54
1556815002,298,68
1556816908,57,52
1556818821,71,98
1556820744,90,91
1556822695,80,143
1556824591,71,218
1556826520,101,265
1556828450,109,211
1556830341,66,220
1556832281,74,256
1556834212,75,201
1556836372,103,205
1556838305,93,176
1556840211,99,163
1556842149,84,141
1556844039,97,160
1556845944,90,187
1556847894,99,138
1556849795,91,128
1556851751,96,126
1556853624,77,129
1556855557,98,147
1556857474,88,119
1556859407,81,112
1556861303,74,114
1556863376,78,107
1556865391,98,118
1556867313,83,134
1556869222,90,106
1556871152,77,95
1556873093,66,88
1556875004,100,90
1556876920,86,100
1556878882,87,78
1556880793,87,62
1556882690,102,64
1556884627,103,63
1556886843,84,78
1556888685,79,64
1556890588,74,51
1556892782,80,64
1556894667,66,59
1556896613,76,73
1556898523,94,66
1556900424,72,111
1556902374,753,257
1556904268,2312,34
1556906185,27,27
1556908138,362,46
1556910172,147,40
1556911980,67,39
1556913880,41,41
1556915783,91,40
1556917728,55,42
1556919648,32,36
1556921545,45,49
1556923510,37,45
1556925396,46,60
1556927309,81,63
1556929236,73,54
1556931164,100,54
1556933070,70,38
1556934992,67,41
1556936928,58,45
1556938964,53,43
1556940794,40,44
1556942707,60,42
1556944586,37,55
1556946539,54,41
1556948438,43,28
1556950357,53,34
1556952297,40,49
1556954200,66,41
1556956143,44,39
1556958056,43,39
1556959973,57,43
1556961881,44,45
1556963794,64,45
1556965995,65,55
1556967934,48,45
1556969795,44,51
1556971662,45,46
1556973628,46,46
1556975571,65,55
1556977491,35,60
1556979406,44,65
1556981315,48,44
1556983250,55,46
1556985182,55,56
1556987068,45,51
1556988998,41,1249
1556990926,76,1437
1556992941,61,168
1556994775,95,207
1556996714,79,103
1556998608,67,76
1557000533,73,68
1557002445,77,69
1557004367,56,60
1557006266,58,36
1557008226,58,50
1557010133,55,71
1557012025,81,79
