DateTime,AddedIPs,RemovedIPs
1556510560,26,87
1556512383,21,110
1556514328,24,81
1556516201,37,102
1556518119,18,116
1556520055,27,110
1556521949,25,101
1556523909,60,98
1556525820,23,108
1556527711,26,101
1556529640,30,129
1556531584,23,120
1556533467,18,124
1556535400,30,125
1556537309,41,135
1556539391,30,166
1556541653,31,151
1556543571,29,189
1556545470,18,98
1556547427,35,20
1556549315,38,90
1556551246,33,29
1556553171,24,52
1556555086,30,31
1556557001,29,28
1556558929,27,16
1556560982,20,16
1556562795,39,23
1556564722,51,29
1556566588,36,948
1556568525,34,53
1556570463,36,55
1556572603,42,54
1556574502,51,30
1556576459,32,32
1556578742,31,40
1556580744,31,33
1556582592,41,33
1556584633,33,37
1556586559,23,41
1556588479,33,30
1556590357,35,26
1556592331,25,36
1556594230,20,35
1556596117,31,37
1556598032,33,40
1556599965,26,30
1556601973,30,35
1556603792,22,31
1556605782,28,22
1556607756,33,31
1556609576,34,37
1556611574,25,68
1556613469,26,40
1556615644,37,30
1556617674,44,36
1556619703,360,38
1556621604,903,41
1556623503,743,35
1556625405,391,22
1556627325,555,21
1556629317,590,23
1556631183,511,19
1556633441,469,27
1556635270,348,29
1556637172,693,24
1556639100,714,16
1556641025,584,25
1556642908,634,29
1556644892,626,24
1556646774,700,23
1556648684,547,27
1556650621,627,30
1556652579,740,21
1556654536,211,30
1556656361,24,24
1556658299,24,29
1556660226,26,31
1556662221,27,33
1556664075,23,22
1556665949,24,20
1556668090,27,25
1556670052,19,37
1556671979,17,25
1556673879,33,18
1556675818,24,25
1556677752,24,27
1556679822,33,24
1556681832,614,23
1556683729,1371,21
1556685660,28,20
1556687564,1142,10
1556689501,1464,18
1556691412,615,19
1556693345,24,18
1556695247,14,17
1556697149,16,12
1556699079,19,17
1556701006,19,16
1556702911,23,12
1556704970,25,26
1556706799,24,417
1556708713,29,389
1556710609,19,211
1556712529,26,27
1556714448,25,30
1556716364,21,23
1556718278,17,27
1556720209,36,38
1556722120,90,19
1556724065,25,23
1556725970,21,32
1556727894,24,27
1556729814,23,30
1556731711,38,19
1556733762,104,32
1556735573,142,22
1556737501,467,22
1556739402,333,26
1556741335,263,22
1556743202,239,16
1556745167,187,26
1556747086,127,18
1556750464,137,35
1556752361,70,432
1556754317,61,622
1556756202,41,590
1556758390,61,732
1556760278,37,1081
1556762226,38,916
1556764119,40,632
1556766168,41,1363
1556767981,33,1285
1556769940,47,1428
1556771812,57,1152
1556773757,43,1197
1556775632,39,1400
1556777827,38,783
1556779719,36,18
1556781786,45,22
1556783621,30,15
1556785511,40,12
1556787436,49,9
1556789392,31,19
1556791431,34,22
1556793421,26,22
1556795308,35,27
1556797253,34,20
1556799168,21,19
1556801097,32,20
1556802994,32,12
1556805268,28,11
1556807071,31,116
1556809319,41,25
1556811175,35,23
1556813104,35,15
1556815003,27,25
1556816911,27,19
1556818823,18,58
1556820745,27,70
1556822697,27,160
1556824593,14,260
1556826522,18,254
1556828452,34,229
1556830343,17,232
1556832283,27,235
1556834214,22,211
1556836373,44,202
1556838306,35,171
1556840213,35,136
1556842168,35,128
1556844040,33,119
1556845945,35,149
1556847895,32,121
1556849797,25,126
1556851754,29,122
1556853625,42,116
1556855560,31,117
1556857476,40,83
1556859409,25,98
