DateTime,Entries,UniqueIPs
1556510560,4719,4719
1556512383,4630,4630
1556514328,4573,4573
1556516201,4508,4508
1556518119,4410,4410
1556520055,4327,4327
1556521949,4251,4251
1556523909,4213,4213
1556525820,4128,4128
1556527711,4053,4053
1556529640,3954,3954
1556531584,3857,3857
1556533467,3751,3751
1556535400,3656,3656
1556537309,3562,3562
1556539391,3426,3426
1556541653,3306,3306
1556543571,3146,3146
1556545470,3066,3066
1556547427,3081,3081
1556549315,3029,3029
1556551246,3033,3033
1556553171,3005,3005
1556555086,3004,3004
1556557001,3005,3005
1556558929,3016,3016
1556560982,3020,3020
1556562795,3036,3036
1556564722,3058,3058
1556566588,2146,2146
1556568525,2127,2127
1556570463,2108,2108
1556572603,2096,2096
1556574502,2117,2117
1556576459,2117,2117
1556578742,2108,2108
1556580744,2106,2106
1556582592,2114,2114
1556584633,2110,2110
1556586559,2092,2092
1556588479,2095,2095
1556590357,2104,2104
1556592331,2093,2093
1556594230,2078,2078
1556596117,2072,2072
1556598032,2065,2065
1556599965,2061,2061
1556601973,2056,2056
1556603792,2047,2047
1556605782,2053,2053
1556607756,2055,2055
1556609576,2052,2052
1556611574,2009,2009
1556613469,1995,1995
1556615644,2002,2002
1556617674,2010,2010
1556619703,2332,2332
1556621604,3194,3194
1556623503,3902,3902
1556625405,4271,4271
1556627325,4805,4805
1556629317,5372,5372
1556631183,5864,5864
1556633441,6306,6306
1556635270,6625,6625
1556637172,7294,7294
1556639100,7992,7992
1556641025,8551,8551
1556642908,9156,9156
1556644892,9758,9758
1556646774,10435,10435
1556648684,10955,10955
1556650621,11552,11552
1556652579,12271,12271
1556654536,12452,12452
1556656361,12452,12452
1556658299,12447,12447
1556660226,12442,12442
1556662221,12436,12436
1556664075,12437,12437
1556665949,12441,12441
1556668090,12443,12443
1556670052,12425,12425
1556671979,12417,12417
1556673879,12432,12432
1556675818,12431,12431
1556677752,12428,12428
1556679822,12437,12437
1556681832,13028,13028
1556683729,14378,14378
1556685660,14386,14386
1556687564,15518,15518
1556689501,16964,16964
1556691412,17560,17560
1556693345,17566,17566
1556695247,17563,17563
1556697149,17567,17567
1556699079,17569,17569
1556701006,17572,17572
1556702911,17583,17583
1556704970,17582,17582
1556706799,17189,17189
1556708713,16829,16829
1556710609,16637,16637
1556712529,16636,16636
1556714448,16631,16631
1556716364,16629,16629
1556718278,16619,16619
1556720209,16617,16617
1556722120,16688,16688
1556724065,16690,16690
1556725970,16679,16679
1556727894,16676,16676
1556729814,16669,16669
1556731711,16688,16688
1556733762,16760,16760
1556735573,16880,16880
1556737501,17325,17325
1556739402,17632,17632
1556741335,17873,17873
1556743202,18096,18096
1556745167,18257,18257
1556747086,18366,18366
1556750464,18468,18468
1556752361,18106,18106
1556754317,17545,17545
1556756202,16996,16996
1556758390,16325,16325
1556760278,15281,15281
1556762226,14403,14403
1556764119,13811,13811
1556766168,12489,12489
1556767981,11237,11237
1556769940,9856,9856
1556771812,8761,8761
1556773757,7607,7607
1556775632,6246,6246
1556777827,5501,5501
1556779719,5519,5519
1556781786,5542,5542
1556783621,5557,5557
1556785511,5585,5585
1556787436,5625,5625
1556789392,5637,5637
1556791431,5649,5649
1556793421,5653,5653
1556795308,5661,5661
1556797253,5675,5675
1556799168,5677,5677
1556801097,5689,5689
1556802994,5709,5709
1556805268,5726,5726
1556807071,5641,5641
1556809319,5657,5657
1556811175,5669,5669
1556813104,5689,5689
1556815003,5691,5691
1556816911,5699,5699
1556818823,5659,5659
1556820745,5616,5616
1556822697,5483,5483
1556824593,5237,5237
1556826522,5001,5001
1556828452,4806,4806
1556830343,4591,4591
1556832283,4383,4383
1556834214,4194,4194
1556836373,4036,4036
1556838306,3900,3900
1556840213,3799,3799
1556842168,3706,3706
1556844040,3620,3620
1556845945,3506,3506
1556847895,3417,3417
1556849797,3316,3316
1556851754,3223,3223
1556853625,3149,3149
1556855560,3063,3063
1556857476,3020,3020
1556859409,2947,2947
1556861304,2875,2875
1556863377,2826,2826
1556865404,2772,2772
1556867315,2716,2716
1556869254,2671,2671
1556871154,2637,2637
1556873094,2586,2586
1556875006,2552,2552
1556876921,2508,2508
1556878884,2483,2483
1556880795,2466,2466
1556882692,2447,2447
1556884629,2441,2441
1556886844,2413,2413
1556888686,2399,2399
1556890589,2380,2380
1556892784,2358,2358
1556894668,2332,2332
1556896614,2298,2298
1556898525,2265,2265
1556900426,2218,2218
1556902376,2198,2198
1556904270,2219,2219
1556906186,2225,2225
1556908140,2447,2447
1556910173,2518,2518
1556911981,2548,2548
1556913882,2544,2544
1556915785,2549,2549
1556917729,2546,2546
1556919650,2544,2544
1556921546,2518,2518
1556923511,2502,2502
1556925397,2500,2500
1556927311,2540,2540
1556929238,2587,2587
1556931166,2625,2625
1556933073,2648,2648
1556934994,2662,2662
1556936929,2657,2657
1556938966,2636,2636
1556940796,2622,2622
1556942709,2620,2620
1556944588,2623,2623
1556946541,2625,2625
1556948440,2635,2635
1556950358,2634,2634
1556952299,2633,2633
1556954201,2649,2649
1556956145,2640,2640
1556958058,2641,2641
1556959975,2639,2639
1556961882,2633,2633
1556963796,2655,2655
1556965997,2647,2647
1556967936,2647,2647
1556969796,2638,2638
1556971664,2637,2637
1556973629,2646,2646
1556975573,2644,2644
1556977492,2629,2629
1556979408,2635,2635
1556981317,2632,2632
1556983252,2630,2630
1556985184,2631,2631
1556987070,2643,2643
1556989000,2617,2617
1556990927,2599,2599
1556992943,2557,2557
1556994777,2446,2446
1556996717,2428,2428
1556998609,2430,2430
1557000534,2431,2431
1557002446,2426,2426
1557004369,2427,2427
1557006267,2433,2433
1557008228,2458,2458
1557010134,2465,2465
1557012027,2454,2454
1557013971,2422,2422
1557015868,2460,2460
1557017797,2446,2446
1557019751,2438,2438
1557021765,2435,2435
1557023575,2438,2438
1557025504,2444,2444
1557027397,2454,2454
1557029326,2446,2446
1557031243,2442,2442
1557033174,2456,2456
1557035068,2452,2452
1557037008,2461,2461
1557038915,2471,2471
1557040827,2471,2471
1557042765,2495,2495
1557044672,2529,2529
1557046582,2539,2539
1557048512,2548,2548
1557050550,3570,3570
1557052375,4377,4377
1557054286,5550,5550
1557056207,7688,7688
1557058143,8824,8824
1557060064,10291,10291
1557061959,11501,11501
1557063869,12933,12933
1557065810,13923,13923
1557067718,14990,14990
1557069665,15910,15910
1557071547,16616,16616
1557073476,17542,17542
1557075407,17730,17730
1557077312,17729,17729
1557079387,17719,17719
1557081380,17724,17724
1557083575,17750,17750
1557085459,17756,17756
1557087397,17945,17945
1557089297,18529,18529
1557091230,19098,19098
1557093172,19898,19898
1557095058,20279,20279
1557096983,20298,20298
1557098896,20303,20303
1557100969,20332,20332
1557102993,20305,20305
1557104928,20311,20311
1557106830,20300,20300
1557108991,20317,20317
1557110903,20334,20334
1557112854,20350,20350
1557114758,20361,20361
1557116654,20368,20368
1557118581,20371,20371
1557120515,20369,20369
1557122562,20366,20366
1557124368,20367,20367
1557126326,20358,20358
1557128178,20345,20345
1557130108,20346,20346
1557132037,20346,20346
1557133952,20343,20343
1557135859,20345,20345
1557137780,20349,20349
1557139709,20362,20362
1557141622,19901,19901
1557143548,19554,19554
1557145464,19559,19559
1557147409,19536,19536
1557149298,19530,19530
1557151375,19525,19525
1557153181,19531,19531
1557155100,19534,19534
1557156999,19527,19527
1557158921,19506,19506
1557160856,19499,19499
1557162766,19497,19497
1557164664,19511,19511
1557166595,19509,19509
1557168501,19503,19503
1557170422,19507,19507
1557172366,19517,19517
1557174258,19146,19146
1557176180,18570,18570
1557178133,17981,17981
1557180174,17091,17091
1557182170,17028,17028
1557184095,17029,17029
1557186137,17018,17018
1557188207,16995,16995
1557190417,16999,16999
1557192503,17000,17000
1557194742,16999,16999
1557196822,17005,17005
1557198751,16995,16995
1557200662,16995,16995
1557202603,16998,16998
1557204495,16947,16947
1557206424,16470,16470
1557208364,15409,15409
1557210278,14494,14494
1557212205,13404,13404
1557214129,12637,12637
1557216067,11541,11541
1557217968,10800,10800
1557219871,10272,10272
1557221793,9606,9606
1557223965,8434,8434
1557225858,7306,7306
1557227794,6568,6568
1557229706,5785,5785
1557231650,5194,5194
1557233947,4817,4817
1557236034,4563,4563
1557237990,3562,3562
1557239857,3048,3048
1557241728,2527,2527
1557243627,2526,2526
1557245554,2521,2521
1557247466,2508,2508
1557249389,2524,2524
1557251320,3482,3482
1557253225,4055,4055
1557255154,4243,4243
1557257074,4790,4790
1557258986,5333,5333
1557260903,5885,5885
1557262991,6622,6622
1557264985,7214,7214
1557266905,7207,7207
1557268818,7195,7195
1557270746,7180,7180
1557272678,7162,7162
1557274842,7174,7174
1557276747,7318,7318
1557278696,8086,8086
1557280584,8855,8855
1557282509,9472,9472
1557285410,10220,10220
1557287312,10497,10497
1557289223,10678,10678
1557291144,11244,11244
1557293096,11659,11659
1557294978,12249,12249
1557296899,12750,12750
1557298920,13025,13025
1557300764,13413,13413
1557302747,13742,13742
1557304617,13749,13749
1557306626,13752,13752
1557308444,13746,13746
1557310373,13738,13738
1557312265,13732,13732
1557314184,13764,13764
1557316136,13757,13757
1557318095,13756,13756
1557319955,13745,13745
1557321862,13756,13756
1557323795,14374,14374
1557325651,15797,15797
1557327718,17359,17359
1557329579,17353,17353
1557331551,17361,17361
1557333399,17369,17369
1557335338,17367,17367
1557337229,17366,17366
1557339123,17331,17331
1557341077,17327,17327
1557343032,17253,17253
1557344949,17186,17186
1557346848,17161,17161
1557348797,17155,17155
1557350702,17169,17169
1557352593,17190,17190
1557355567,17199,17199
1557357407,17187,17187
1557359276,17180,17180
1557361338,17181,17181
1557363156,17167,17167
1557365108,17131,17131
1557367049,17101,17101
1557369194,17081,17081
1557371379,17089,17089
1557373274,17085,17085
1557375192,17088,17088
1557377114,17082,17082
1557379017,17083,17083
1557381173,17058,17058
1557383075,17001,17001
1557385012,16996,16996
1557386945,16984,16984
1557389023,16971,16971
1557390991,16877,16877
1557392951,16492,16492
1557394845,15800,15800
1557397014,14320,14320
1557398948,12553,12553
1557400858,10890,10890
1557402806,10265,10265
1557404676,9751,9751
1557406614,8459,8459
1557408718,6754,6754
1557410742,5203,5203
1557412600,3558,3558
1557414539,2480,2480
1557416450,2468,2468
1557418617,2481,2481
1557420513,2483,2483
1557422493,2493,2493
1557424363,2495,2495
1557426514,2511,2511
1557428549,2522,2522
1557430383,2516,2516
1557432329,2503,2503
1557434219,2506,2506
1557436150,2518,2518
1557438060,2509,2509
1557439954,2510,2510
1557442401,2506,2506
1557444295,2506,2506
1557446192,2514,2514
1557448130,2513,2513
1557450112,2497,2497
1557451955,2491,2491
1557454153,2490,2490
1557456035,2470,2470
1557458251,2455,2455
1557460171,2444,2444
1557462049,2461,2461
1557463966,2452,2452
1557465871,2448,2448
1557467786,2454,2454
1557469735,2455,2455
1557471790,2447,2447
1557473778,2430,2430
1557475734,2432,2432
1557477621,2423,2423
1557479555,2416,2416
1557481471,2412,2412
1557483401,2408,2408
