DateTime,AddedIPs,RemovedIPs
1557107074,4,8
1557107792,5,9
1557108517,11,12
1557109228,8,7
1557109959,0,2
1557110667,5,7
1557111388,4,1
1557112105,1,5
1557112837,9,4
1557113532,4,3
1557114251,2,8
1557114974,2,2
1557115687,7,6
1557116412,6,4
1557117136,0,1
1557117856,0,2
1557119294,0,2
1557120010,5,0
1557120739,4,3
1557121450,1,0
1557122169,3,2
1557122891,1,0
1557123634,4,3
1557124334,3,0
1557125053,3,4
1557125772,5,0
1557126491,0,2
1557127209,2,4
1557127937,2,0
1557128662,2,1
1557129369,5,3
1557130094,4,0
1557130815,3,3
1557131547,4,4
1557132258,2,7
1557132970,2,0
1557133941,5,6
1557134650,1,8
1557135373,1,1
1557136090,3,1
1557136833,2,4
1557137531,1,2
1557138259,4,5
1557138969,1,2
1557139695,3,0
1557140670,3,7
1557141371,2,1
1557142098,5,2
1557142813,1,2
1557143533,2,1
1557144529,4,2
1557145250,4,4
1557145959,5,2
1557146671,2,3
1557147395,2,3
1557148109,1,3
1557148835,2,1
1557149561,3,2
1557150252,3,1
1557151222,2,0
1557151937,0,2
1557152667,4,4
1557153370,3,4
1557154120,6,2
1557155082,3,6
1557155793,1,0
1557156516,6,2
1557157207,1,5
1557157933,2,2
1557159393,2,3
1557160086,5,3
1557160843,4,2
1557161550,3,1
1557162281,4,2
1557162974,4,1
1557163693,2,2
1557164410,2,0
1557165379,2,4
1557166115,0,2
1557166833,5,4
1557167564,4,4
1557168248,2,3
1557168969,5,2
1557169688,3,4
1557170410,10,1
1557171136,1,4
1557171865,2,3
1557172569,3,0
1557173319,5,2
1557174032,4,4
1557174762,4,2
1557175452,2,0
1557176169,3,10
1557177375,1,0
1557178116,5,2
1557178839,3,9
1557179533,4,2
1557180256,6,3
1557181000,0,3
1557181686,3,5
1557182437,3,4
1557183133,3,0
1557183880,1,5
1557184575,2,2
1557185291,3,3
1557186118,3,1
1557186972,5,4
1557187799,6,6
1557188786,3,0
1557189501,5,8
1557190406,6,4
1557191080,3,4
1557192464,15,6
1557193186,7,8
1557194243,5,15
1557195167,11,11
1557196365,7,8
1557197078,5,8
1557197767,6,4
1557198517,3,0
1557199207,5,4
1557199962,6,9
1557200651,4,0
1557201396,2,3
1557202092,5,3
1557202812,1,6
1557203535,2,2
1557204251,4,3
1557204883,0,2
1557205603,1,2
1557206411,5,4
1557207135,3,1
1557207853,3,2
1557208566,1,3
1557209310,3,1
1557210009,3,2
1557210746,1,3
1557211476,3,3
1557212169,2,1
1557212894,4,0
1557213618,3,2
1557214336,2,5
1557215076,4,4
1557215768,3,1
1557216498,0,3
1557217225,3,3
1557217944,1,2
1557218651,3,2
1557219396,3,3
1557220088,0,3
1557220812,4,1
1557221538,3,5
1557222292,2,1
1557222967,2,0
1557223940,5,1
1557224649,6,5
1557225377,2,1
1557226094,3,5
1557226811,2,0
1557227533,3,0
1557228257,0,5
1557228972,0,2
1557229690,2,0
1557230438,2,2
1557231145,4,4
1557231859,2,4
1557232572,4,0
1557233303,3,5
1557233918,1,0
1557234736,1,1
1557235458,2,3
1557236200,6,5
1557236894,0,2
1557237630,2,2
1557238338,3,4
1557239048,6,0
1557239771,2,5
1557240492,1,0
1557241229,16,2
1557241930,3,5
1557242656,2,9
1557244100,2,5
1557244822,2,0
1557245533,0,4
1557246250,3,7
1557246972,6,0
1557247695,4,5
1557248438,33,0
1557249146,1,1
1557249853,2,0
1557250569,2,3
1557251293,3,5
1557252020,0,6
1557252738,0,5
1557253449,5,4
1557254173,3,5
1557254897,2,0
1557255626,2,5
1557256330,3,0
1557257052,2,7
1557257768,1,0
1557258494,3,2
1557259220,5,4
1557259937,4,0
1557260671,2,1
1557261371,6,2
1557262090,1,4
1557262827,3,5
1557263537,0,2
1557264254,1,3
1557264968,2,4
1557265698,0,1
1557266467,4,4
1557267136,0,7
1557267851,3,2
1557268573,1,2
1557269297,3,6
1557270019,2,1
1557270730,0,3
1557271455,3,3
1557272172,4,2
1557272894,3,3
1557273630,2,2
1557274345,6,6
1557275050,6,3
1557275798,4,5
1557276495,0,2
1557277235,7,3
1557277934,5,6
1557278656,5,8
1557279369,8,6
1557280105,7,12
1557280816,4,9
1557281532,12,8
1557282248,11,6
1557282975,4,5
1557283691,5,5
1557284415,4,7
1557285132,5,6
1557285857,6,4
1557286570,2,0
1557287295,1,10
1557288029,4,6
1557288739,3,4
1557289460,4,3
1557290171,4,3
1557290896,4,2
1557291622,2,1
1557292335,1,1
1557293051,2,0
1557293773,2,2
1557294494,1,0
1557295227,5,2
1557295932,1,1
1557296652,5,3
1557297372,5,6
1557298094,2,6
1557298824,0,1
1557299532,6,0
1557300255,2,3
1557300968,3,2
1557301696,1,0
1557302419,3,1
1557303142,0,6
1557303851,4,3
1557304571,2,0
1557305294,2,3
1557306026,2,2
1557306731,5,0
1557307469,2,5
1557308169,4,0
1557308896,1,2
1557309611,1,6
1557310332,3,4
1557311052,2,0
1557311776,4,4
1557312493,3,4
1557313224,2,3
1557313935,0,4
1557314653,4,3
1557315373,3,1
1557316090,2,3
1557316820,2,4
1557317531,3,5
1557318251,4,3
1557318970,5,5
1557319701,3,0
1557320430,4,3
1557321351,3,2
1557322093,1,6
1557322810,2,0
1557323537,0,8
1557324255,1,0
1557324973,2,3
1557325942,5,5
1557326659,1,0
1557327372,2,6
1557328819,8,3
1557329537,2,3
1557330277,0,1
1557330971,5,1
1557331940,3,4
1557332651,1,0
1557333371,5,1
1557334091,1,6
1557334816,2,3
1557335534,3,4
1557336256,2,13
1557336971,1,0
1557337695,3,13
1557339403,3,5
1557340090,3,3
1557340813,3,1
1557341528,6,2
1557342262,4,1
1557342998,6,7
1557343718,1,5
1557344407,6,4
1557345135,2,6
1557345851,2,1
1557346601,4,4
1557347313,8,0
1557348039,2,2
1557348754,3,2
1557349482,0,5
1557350201,5,0
1557350908,3,0
1557351613,2,7
1557352330,12,0
1557353053,2,10
1557353776,5,6
1557355731,7,13
1557356409,3,0
1557357129,1,0
1557357864,7,4
1557359244,6,10
1557360156,2,6
1557361304,5,6
1557362268,7,7
1557362916,3,5
1557363640,3,1
1557364330,2,5
1557365052,12,10
1557365768,6,9
1557366494,5,10
1557367467,6,10
1557368182,6,10
1557369139,6,8
1557369853,4,6
1557370571,4,9
1557371310,6,3
1557372259,10,5
1557372970,3,7
1557373697,3,5
1557374417,7,2
1557375153,2,5
1557375849,1,1
1557376572,1,6
1557377550,3,5
1557378256,0,3
1557378980,5,5
1557379687,3,1
1557380411,2,3
1557381140,2,3
1557381851,5,3
1557382574,6,2
1557383294,0,2
1557384030,2,1
1557384757,2,3
1557385473,1,6
1557386193,5,4
1557386913,4,2
1557387631,3,2
1557388346,2,1
1557389324,4,6
1557390026,2,2
1557390758,5,2
1557391469,2,3
1557392190,0,1
1557392909,1,5
1557393628,2,4
1557394358,4,5
1557395075,3,0
1557395789,5,4
1557396540,2,2
1557397226,6,4
1557397954,4,1
1557398673,3,6
1557399387,1,3
1557400112,0,4
1557400833,3,1
1557401571,4,6
1557402254,2,1
1557402967,3,5
1557403694,5,0
1557404408,2,3
1557405147,2,1
1557405854,2,2
1557406573,1,1
1557407296,3,3
1557408011,2,0
1557408675,16,7
1557409703,14,3
1557410411,5,6
1557411139,2,2
1557411850,2,7
1557412573,4,1
1557413291,1,3
1557414019,5,2
1557414728,4,4
1557415697,2,3
1557416410,9,0
1557417134,20,4
1557418126,5,10
1557418828,7,3
1557419558,5,2
1557420270,1,8
1557420989,2,2
1557421714,1,4
1557422447,2,5
1557423151,2,4
1557423872,3,6
1557424588,8,3
1557426028,1,8
1557426755,1,0
1557427472,1,4
1557428185,1,7
1557428919,0,9
1557429626,2,0
1557430357,1,6
1557431074,1,4
1557431789,1,0
1557432763,5,9
1557433467,2,3
1557434193,3,0
1557434908,4,4
1557435638,2,6
1557436353,4,0
1557437054,2,9
1557437779,2,4
1557439459,2,3
1557440170,1,6
1557440891,1,2
1557442610,5,8
1557443289,1,5
1557444018,2,1
1557444734,4,2
1557445455,4,1
1557446167,2,2
1557446896,3,7
1557447608,2,2
1557448342,5,4
1557449052,2,4
1557449770,4,3
1557450741,8,5
1557451453,5,6
1557452179,8,10
1557452890,4,11
1557453640,4,6
1557454332,5,15
1557455052,9,6
1557455773,3,9
1557456494,3,6
1557457211,2,1
1557458191,9,7
1557458887,5,7
1557459615,5,6
1557460328,2,8
1557461053,4,3
1557461771,4,7
1557462491,5,3
1557463209,1,1
1557463935,2,5
1557464655,1,2
1557465378,2,8
1557466086,5,1
1557466831,2,2
1557467546,2,1
1557468278,0,4
1557468992,4,2
1557469714,1,5
1557470428,3,3
1557471157,4,0
1557472123,4,4
1557472829,2,6
1557473561,3,4
1557474268,2,5
1557474992,3,0
1557475717,2,0
1557476429,4,4
1557477153,1,3
1557477872,0,4
1557478586,2,4
1557479316,1,3
1557480027,3,4
1557480763,2,3
1557481450,3,3
1557482172,4,6
1557483141,2,7
1557483850,2,0
