DateTime,AddedIPs,RemovedIPs
1557111388,22,34
1557112105,19,9
1557112837,37,47
1557113532,36,396
1557114251,390,56
1557114974,57,28
1557115687,23,36
1557116412,40,397
1557117136,393,34
1557117856,27,408
1557118567,408,13
1557119294,14,42
1557120010,40,32
1557120739,38,23
1557121450,21,46
1557122169,38,21
1557122891,15,22
1557123634,27,30
1557124334,31,26
1557125053,25,27
1557125772,35,392
1557126491,387,41
1557127209,38,417
1557127937,415,26
1557128662,43,31
1557129369,39,20
1557130094,21,39
1557130815,36,31
1557131547,35,49
1557132258,60,27
1557132970,29,19
1557133941,22,40
1557134650,31,22
1557135373,20,414
1557136090,409,22
1557136833,28,27
1557137531,19,32
1557138259,45,25
1557138969,35,26
1557139695,33,31
1557140670,23,33
1557141371,34,31
1557142098,36,27
1557142813,22,33
1557143533,35,21
1557144529,24,40
1557145250,59,27
1557145959,26,19
1557146671,21,36
1557147395,42,24
1557148109,18,27
1557148835,14,35
1557149561,35,16
1557150252,27,26
1557151222,49,31
1557151937,7,36
1557152667,44,17
1557153370,28,33
1557154120,32,40
1557155082,42,51
1557155793,23,55
1557156516,66,32
1557157207,28,55
1557157933,64,34
1557158653,38,33
1557159393,25,43
1557160086,37,31
1557160843,26,19
1557161550,37,30
1557162281,26,21
1557162974,29,38
1557163693,30,26
1557164410,25,37
1557165379,54,32
1557166115,16,411
1557166833,440,46
1557167564,34,17
1557168248,20,23
1557168969,32,28
1557169688,23,32
1557170410,33,44
1557171136,56,22
1557171865,19,31
1557172569,25,25
1557173319,15,48
1557174032,35,26
1557174762,41,38
1557175452,24,40
1557176169,29,26
1557177375,33,43
1557178116,28,39
1557178839,30,26
1557179533,26,26
1557180256,31,28
1557181000,20,32
1557181686,29,46
1557182437,42,23
1557183133,23,27
1557183880,23,14
1557184575,30,33
1557185291,33,22
1557186118,18,33
1557186972,39,46
1557187799,30,45
1557188786,44,26
1557189501,28,17
1557190406,24,435
1557191080,422,26
1557192464,53,56
1557193186,42,430
1557194243,445,23
1557195167,30,39
1557196365,43,36
1557197078,16,37
1557197767,42,23
1557198517,7,37
1557199207,37,25
1557199962,26,432
1557200651,433,24
1557201396,25,20
1557202092,27,41
1557202812,16,24
1557203535,35,20
1557204251,28,26
1557204883,22,27
1557205603,25,42
1557206411,39,44
1557207135,37,22
1557207853,25,19
1557208566,26,20
1557209310,28,36
1557210009,29,26
