DateTime,AddedIPs,RemovedIPs
1556470590,13,23
1556472497,7,0
1556474434,12,26
1556476363,15,25
1556478255,6,21
1556480437,21,17
1556482337,18,20
1556484257,17,15
1556486177,19,10
1556488096,19,9
1556491934,11,27
1556493854,9,18
1556497692,25,33
1556499633,15,20
1556501561,17,23
1556503456,10,24
1556505391,7,18
1556507316,17,14
1556509213,15,16
1556511139,12,8
1556513072,17,14
1556514975,7,12
1556516911,7,12
1556518829,15,21
1556520748,23,18
1556522650,11,24
1556524567,16,15
1556526761,4,10
1556528680,10,14
1556530573,8,12
1556532498,5,11
1556534436,5,11
1556536334,8,17
1556538272,8,16
1556540178,13,0
1556542096,9,14
1556544012,5,20
1556545935,12,10
1556547869,18,17
1556549777,19,10
1556551709,13,15
1556553641,8,21
1556555539,15,20
1556557479,14,18
1556559382,18,14
1556561304,20,17
1556565139,18,34
1556567054,14,29
1556568999,17,10
1556570915,17,12
1556572848,15,10
1556574730,13,8
1556576682,21,14
1556579112,17,9
1556580995,20,10
1556582924,22,7
1556585076,16,13
1556586980,14,13
1556588893,9,12
1556590823,15,21
1556592763,11,11
1556594670,19,12
1556596587,11,18
1556598508,19,13
1556600430,16,18
1556602363,7,11
1556604273,11,12
1556606176,10,18
1556608105,10,12
1556610035,15,19
1556611943,10,0
1556613857,12,11
1556616039,11,14
1556617958,13,7
1556619852,15,4
1556621774,13,14
1556623690,5,13
1556625648,12,17
1556629461,13,24
1556631375,9,24
1556633324,10,0
1556635234,16,20
1556637158,3,14
1556640998,12,37
1556644816,17,34
1556648659,18,37
1556650571,16,13
1556652514,10,24
1556654465,17,16
1556656346,15,20
1556658258,12,13
1556660194,5,17
1556662120,15,16
1556664036,8,0
1556665933,12,17
1556668387,11,38
1556670258,12,19
1556672440,14,0
1556674357,13,13
1556676277,16,16
1556678191,11,18
1556680108,11,19
1556682015,13,20
1556683939,11,9
1556685872,9,16
1556687779,13,13
1556689698,17,6
1556691637,19,17
1556693532,18,23
1556695457,13,24
1556697389,7,20
1556699298,15,13
1556701232,13,17
1556703162,5,4
1556705322,6,26
1556707212,15,15
1556709135,11,27
1556711073,18,14
1556712976,19,24
1556714893,20,20
1556716835,15,16
1556718748,10,14
1556720652,12,15
1556722590,8,13
1556724491,17,19
1556726476,7,15
1556728358,19,23
1556730256,15,30
1556732174,16,20
1556734123,10,20
1556736029,12,19
1556737941,19,18
1556741797,21,36
1556743695,7,0
1556745633,20,13
1556747559,10,14
1556752583,11,31
1556754746,15,14
1556756654,14,11
1556758591,12,20
1556760494,16,21
1556762440,19,11
1556764354,11,16
1556766259,11,16
1556768191,13,17
1556772013,13,28
1556773940,17,17
1556775872,14,15
1556777787,15,21
1556779694,21,0
1556781633,17,16
1556783532,7,23
1556785463,10,11
1556787372,9,17
1556789316,7,10
1556791238,17,5
1556793138,24,6
1556795051,25,11
1556796879,12,16
1556798680,15,13
1556800570,19,23
1556802517,10,15
1556804432,15,11
1556806333,13,22
1556808268,14,18
1556810172,13,20
1556812097,15,24
1556814006,21,17
1556815933,17,0
1556817867,17,0
1556819765,21,16
1556821692,22,16
