DateTime,AddedIPs,RemovedIPs
1556470590,57,50
1556472497,60,60
1556474434,43,54
1556476363,61,47
1556478255,53,59
1556480437,53,49
1556482337,63,55
1556484257,60,63
1556486177,61,60
1556488096,58,61
1556491934,46,52
1556493854,58,54
1556497692,65,59
1556499633,62,66
1556501561,51,56
1556503456,49,50
1556505391,48,46
1556507316,62,48
1556509213,57,63
1556511139,61,59
1556513072,57,61
1556514975,51,55
1556516911,51,56
1556518829,56,51
1556520748,65,55
1556522650,53,70
1556524567,62,51
1556526761,39,62
1556528680,56,38
1556530573,17,57
1556532498,19,21
1556534436,34,17
1556536334,30,35
1556538272,42,31
1556540178,45,42
1556542096,27,45
1556544012,28,27
1556545935,46,21
1556547869,60,47
1556549777,58,61
1556551709,57,55
1556553641,42,56
1556555539,56,44
1556557479,44,55
1556559382,53,45
1556561304,54,52
1556565139,49,56
1556567054,50,48
1556568999,57,50
1556570915,50,60
1556572848,46,49
1556574730,46,43
1556576682,55,47
1556579112,45,56
1556580995,44,41
1556582924,57,46
1556585076,58,55
1556586980,50,57
1556588893,55,57
1556590823,54,51
1556592763,44,46
1556594670,52,51
1556596587,47,52
1556598508,48,41
1556600430,44,50
1556602363,35,43
1556604273,47,37
1556606176,40,50
1556608105,45,43
1556610035,52,43
1556611943,36,53
1556613857,35,40
1556616039,33,36
1556617958,30,31
1556619852,44,33
1556621774,39,43
1556623690,24,36
1556625648,46,26
1556629461,26,38
1556631375,33,26
1556633324,37,36
1556635234,33,35
1556637158,30,34
1556640998,44,30
1556644816,47,45
1556648659,54,50
1556650571,45,50
1556652514,58,47
1556654465,49,58
1556656346,49,52
1556658258,55,46
1556660194,40,50
1556662120,42,41
1556664036,47,47
1556665933,54,45
1556668387,50,51
1556670258,55,55
1556672440,62,53
1556674357,47,59
1556676277,47,45
1556678191,48,48
1556680108,50,51
1556682015,51,49
1556683939,54,52
1556685872,39,52
1556687779,53,38
1556689698,59,60
1556691637,50,55
1556693532,54,54
1556695457,56,51
1556697389,29,58
1556699298,50,29
1556701232,49,49
1556703162,19,53
1556705322,27,19
1556707212,54,23
1556709135,38,54
1556711073,54,42
1556712976,58,51
1556714893,57,59
1556716835,47,53
1556718748,37,47
1556720652,48,40
1556722590,47,46
1556724491,59,51
1556726476,58,56
1556728358,60,58
1556730256,52,58
1556732174,55,52
1556734123,51,54
1556736029,46,52
1556737941,56,49
1556741797,58,53
1556743695,43,57
1556745633,48,43
1556747559,55,51
1556752583,45,52
1556754746,40,49
1556756654,54,42
1556758591,54,50
1556760494,49,49
1556762440,55,53
1556764354,49,54
1556766259,55,50
1556768191,50,56
1556772013,41,50
1556773940,45,38
1556775872,45,48
1556777787,50,46
1556779694,54,49
1556781633,52,55
1556783532,34,55
1556785463,49,32
1556787372,45,48
1556789316,15,51
1556791238,57,13
1556793138,54,55
1556795051,58,54
1556796879,41,57
1556798680,50,41
1556800570,51,49
1556802517,49,49
1556804432,46,48
1556806333,45,45
1556808268,59,48
1556810172,47,57
1556812097,54,50
1556814006,58,53
1556815933,55,60
1556817867,57,51
1556819765,54,60
1556821692,53,51
1556823625,64,57
1556825549,48,58
1556827449,51,52
1556829373,55,53
1556831306,42,41
1556833207,47,54
1556835886,54,49
1556837787,47,50
1556839705,42,43
1556841646,57,47
1556843536,46,58
1556845456,55,48
1556847374,48,56
1556849291,49,40
1556851212,53,53
1556853154,59,50
1556855051,51,59
1556856971,57,52
1556858895,46,58
1556860825,53,48
1556862730,63,52
