DateTime,AddedIPs,RemovedIPs
1557113523,1,0
1557114122,1,0
1557114722,1,0
1557114963,90,0
1557115403,1,1
1557117122,1,0
1557117723,1,0
1557118323,2,0
1557118811,80,9
1557118943,0,1
1557119523,6,0
1557120005,0,176
1557121323,12,0
1557122642,93,0
1557123842,4,81
1557124802,93,0
1557124922,2,0
1557126205,4,3
1557127323,5,0
1557127922,1,0
1557128642,72,19
1557129123,18,0
1557129620,0,105
1557129723,14,0
1557129803,0,1
1557130922,1,0
1557132122,14,1
1557132482,90,0
1557133322,8,0
1557133923,2,3
1557134522,0,1
1557135153,1021,190
1557135363,59,64
1557135722,6,0
1557136322,0,71
1557136944,2,0
1557138122,2,0
1557138722,2,0
1557139322,3,0
1557140163,87,0
1557140543,2,0
1557141723,6,0
1557142923,1,0
1557144011,74,18
1557144964,0,95
1557145323,1,0
1557145922,73,0
1557147723,1,0
1557147804,1,0
1557148322,4,0
1557148922,7,0
1557149762,67,11
1557150123,5,0
1557150722,11,58
1557151405,5,1
1557151923,1,0
1557152523,1,0
1557153602,71,14
1557153722,3,0
1557154563,18,102
1557155003,3,0
1557156123,22,0
1557156723,25,0
1557157442,82,2
1557157923,3,0
1557158522,4,1
1557158604,0,1
1557159363,0,69
1557159722,24,0
1557160322,20,0
1557160922,2,0
1557161282,78,0
1557162124,6,0
1557162722,2,1
1557163322,1,0
1557165364,86,147
1557165805,2,2
1557166322,4,0
1557166922,3,0
1557167282,92,0
1557167523,21,0
1557168123,16,0
1557169344,1,0
1557170523,3,0
1557171123,0,68
1557171722,1,0
1557173042,106,0
1557173522,2,2
1557174962,75,22
1557175322,0,3
1557175922,2,0
1557176523,2,0
1557176883,0,151
1557177122,1,0
1557177722,7,0
1557178323,5,0
1557178802,80,0
1557178924,4,0
1557179523,1,0
1557180123,2,0
1557181323,1,0
1557182643,62,105
1557183723,3,0
1557184923,1,0
1557185522,3,0
1557186483,85,238
1557186722,1,0
1557187346,1,2
1557187922,5,0
1557188752,56,0
1557189723,4,0
1557190322,1,0
1557190923,1,0
1557192122,13,76
1557192723,9,0
1557193923,7,1
1557194644,71,2
1557195723,2,0
1557196803,89,7
1557196923,3,0
1557197522,7,73
1557198123,2,0
1557198724,5,88
1557199323,1,0
1557200642,181,0
1557201363,0,222
1557201722,1,0
1557201744,0,2
1557202323,1,0
1557202922,3,0
1557204123,4,0
1557204482,93,0
1557205323,3,0
1557205922,0,3
1557206524,4,0
1557207723,4,0
1557208322,7,1
1557209283,105,83
1557209523,2,0
1557210243,3,80
1557211322,15,0
1557212163,84,0
1557212523,3,0
1557212605,0,3
1557213363,2,80
1557213723,5,0
1557214322,4,0
1557214922,2,0
1557215522,1,0
1557216015,71,0
1557216123,5,0
1557216205,0,2
1557216723,5,0
1557217442,2,59
1557217923,87,0
1557218522,5,0
1557219805,3,0
1557220324,3,1
1557220922,9,0
1557221764,61,11
1557222287,1427,212
1557223443,0,109
1557225842,66,0
1557226945,8,2
1557228123,1,0
1557228723,1,0
1557229323,1,0
1557229682,62,12
1557230604,1,1
1557231123,0,102
1557231722,1,0
1557232323,4,0
1557233763,79,0
1557234144,1,1
1557234723,4,0
1557235682,62,13
1557236523,6,0
1557237122,1,0
1557237745,2,2
1557238803,0,110
1557240123,2,0
1557241441,143,0
