DateTime,AddedIPs,RemovedIPs
1556973615,61,91
1556975550,111,183
1556976629,31,0
1556977447,18,22
1556977529,97,158
1556978433,0,768
1556979379,100,184
1556980935,83,185
1556981291,20,8
1556982928,64,152
1556983206,18,21
1556985161,104,13
1556985634,59,142
1556986529,108,115
1556987048,17,16
1556987419,510,0
1556987433,96,125
1556988968,20,17
1556989250,81,146
1556990119,34,1
1556990904,13,15
1556991732,72,204
1556992837,68,15
1556993721,254,499
1556994142,80,66
1556994752,29,13
1556995332,103,131
1556996656,23,23
1556997321,69,77
1556998570,91,28
1556998927,32,114
1557000509,19,18
1557000922,108,114
1557002424,27,22
1557002722,108,101
1557004342,76,19
1557005404,38,94
1557006245,8,11
1557006324,104,143
1557008187,147,113
1557010091,75,134
1557011107,84,98
1557012005,403,0
1557012028,28,2
1557013344,105,132
1557013943,19,17
1557014167,37,0
1557015847,20,15
1557016227,107,67
1557017765,25,19
1557018927,145,213
1557019709,34,15
1557020536,92,122
1557021625,74,24
1557022598,56,89
1557023554,29,8
1557024146,95,131
1557025457,25,16
1557026127,129,51
1557027370,27,12
1557027739,73,170
1557028577,31,1
1557029292,21,16
1557030628,39,76
1557031227,18,19
1557031361,109,154
1557032169,45,0
1557033132,22,11
1557033549,59,105
1557034228,42,0
1557035051,11,15
1557036991,168,226
1557038108,83,95
1557038890,20,13
1557039630,71,35
1557040804,12,24
1557041427,48,97
1557042141,67,120
1557042744,19,18
1557044128,54,68
1557044646,68,21
1557044887,43,0
1557046564,16,21
1557046846,79,157
1557048491,67,130
1557048976,63,127
1557050440,12,957
1557051328,65,39
1557052357,97,129
1557052493,63,126
1557054253,400,0
1557055126,116,140
1557056187,41,17
1557056531,74,170
1557058100,28,10
1557058528,90,94
1557060023,24,11
1557060329,52,91
1557061507,91,246
1557061928,14,14
1557063029,65,0
1557063846,35,11
1557064676,87,372
1557065789,29,10
1557066627,66,99
1557067691,24,9
1557068721,150,271
1557069625,37,15
1557070219,918,1
1557071527,18,11
1557072919,250,1104
1557073448,32,19
1557074539,110,206
1557075384,33,19
1557075624,51,0
1557077289,89,93
1557077422,32,0
1557079219,72,249
1557079251,24,101
1557080510,255,0
1557081154,131,23
1557081734,37,194
1557083049,24,25
1557083723,134,137
1557084985,16,35
1557085524,77,130
1557086915,146,25
1557087361,64,138
1557088086,45,0
1557088827,35,16
1557088928,45,109
1557089768,42,0
1557090758,19,18
1557091826,62,113
1557092650,27,12
1557092726,107,76
1557093655,94,117
1557094588,82,12
1557096495,127,236
1557098415,477,54
1557100330,94,17
1557100828,58,169
1557102271,99,101
1557102629,256,0
1557103363,88,139
1557104167,23,12
1557104431,37,0
1557106090,59,94
1557106230,34,0
1557108041,18,6
1557108904,165,236
1557109955,13,12
1557110537,83,167
1557111854,11,8
1557112540,53,82
1557114039,99,18
1557114329,31,148
1557115934,30,12
1557116133,100,86
1557117852,33,21
1557117930,115,205
1557119792,116,97
1557120629,64,1
1557121690,25,11
1557122433,42,176
1557123330,84,114
1557123630,35,24
1557124372,71,114
1557125559,24,26
1557126032,47,43
1557127449,105,73
1557127829,39,0
1557128537,55,121
1557129365,29,25
1557130530,163,75
1557131303,42,21
1557132136,139,156
1557133216,75,16
1557134687,69,81
1557135157,101,13
1557136567,71,139
1557137324,32,1063
1557138631,57,76
1557139212,49,36
1557139327,106,72
1557141157,557,0
1557141330,94,113
1557143052,163,107
1557144974,131,96
1557146890,146,24
1557148529,134,216
1557148829,44,37
1557150748,174,42
1557151230,86,105
1557152662,111,103
1557153930,75,125
1557154573,154,72
1557155414,90,80
1557156511,28,779
1557157328,116,141
1557158435,35,24
1557159256,206,76
1557160357,76,13
1557160928,54,92
1557162275,33,20
1557162929,128,89
1557163097,507,0
1557163821,51,0
1557164190,35,19
1557164984,59,141
1557166109,36,21
1557166855,93,84
1557168035,37,24
1557168136,90,95
1557168967,60,2
1557169931,288,14
1557170656,41,69
1557171859,29,12
1557171922,144,166
1557173772,165,88
1557173815,494,0
1557174622,37,1
1557175690,26,11
1557176435,59,80
1557177631,105,137
1557179528,93,135
1557180029,66,0
1557181473,91,114
1557181824,256,0
1557182108,69,108
1557183396,27,32
1557183562,87,93
1557185288,451,0
1557187356,34,16
1557189028,255,254
1557189497,34,18
1557191557,22,23
1557194240,171,448
1557196362,26,33
1557198249,13,23
1557200169,19,14
1557200559,615,531
1557202088,28,18
1557204017,27,16
1557205935,311,341
1557207849,19,8
1557208386,114,147
1557209779,26,25
1557211935,186,25
1557213328,140,96
1557213849,35,10
1557214493,93,84
1557215764,25,21
1557217684,32,14
1557218731,185,273
1557219621,121,11
1557220964,93,28
1557221530,19,21
1557223460,223,1223
1557224777,172,127
1557225372,38,43
1557226143,87,253
1557227287,562,0
1557229210,150,13
1557229632,90,19
1557231140,40,11
1557231328,106,241
1557233047,20,20
1557233223,133,120
1557234968,41,19
1557235005,122,1
1557236889,133,17
1557238155,111,103
1557238822,36,16
1557240172,151,127
1557240729,36,16
1557241727,91,94
1557242651,278,11
1557244567,127,445
1557246486,35,18
1557247142,284,105
1557248433,32,25
1557248921,102,200
1557249738,0,509
1557250360,29,24
1557251120,54,0
1557252255,43,27
1557252920,158,488
1557254168,44,25
1557256095,33,270
1557256144,288,131
1557258009,37,27
1557258321,527,0
1557259649,254,116
1557259932,24,26
1557260396,0,512
1557261849,24,25
1557262245,200,287
1557263769,33,30
1557263947,112,1
1557265692,164,251
1557267231,98,0
1557267607,25,31
1557269535,27,38
1557270037,90,226
1557271452,436,0
1557273370,210,195
1557274526,67,306
1557275398,25,12
1557275778,97,0
1557277232,22,18
1557278491,104,90
1557279137,28,21
1557279944,169,91
1557281060,25,15
1557282971,24,13
1557283116,249,112
1557284892,15,11
1557286810,30,15
1557287129,170,170
1557287498,107,42
1557288733,18,17
1557289566,157,154
1557290648,16,18
1557290821,97,73
1557292570,30,23
1557292991,55,203
1557294490,93,18
1557296128,169,193
1557296426,22,23
1557296772,91,1
1557298342,21,20
1557298834,79,119
1557300250,23,15
1557302169,225,289
1557302985,84,92
1557304088,20,31
1557304545,105,1
1557306022,33,25
1557307032,190,174
1557307937,31,22
1557310102,571,1316
1557311127,170,83
1557312009,37,39
1557312344,276,301
1557313931,567,0
1557315849,29,31
1557315930,337,1
1557317776,26,26
1557318630,119,125
1557319693,104,154
1557321610,54,33
1557321861,148,157
1557322678,89,94
1557323532,46,20
1557325447,43,22
1557325829,151,301
1557326617,88,135
1557327367,21,16
1557328530,90,838
1557329286,528,13
1557331252,200,27
1557331985,103,102
1557333130,22,17
1557335057,162,357
1557336966,22,25
1557339399,279,336
1557341290,33,23
1557341719,151,160
1557343206,14,30
1557343912,150,88
1557345130,44,22
1557345312,78,143
1557347049,20,27
1557347171,75,103
1557348163,98,122
1557348967,26,29
1557350123,111,61
1557350903,22,23
1557352836,26,33
1557355728,29,54
1557357642,1000,271
1557359537,17,25
1557362265,36,37
1557364123,20,20
1557366011,15,32
1557366171,519,160
1557367956,21,26
1557369849,18,10
1557370642,195,362
1557371801,19,18
1557372628,46,229
1557373693,33,20
1557374428,55,0
1557374779,105,201
1557375639,34,19
1557377546,121,27
1557378929,159,173
1557379452,25,14
1557380149,74,0
1557381388,28,18
1557383289,225,76
1557383973,106,84
1557385224,41,26
1557385244,53,82
1557387135,25,31
1557389319,248,265
1557390628,108,211
1557391212,48,25
1557391783,153,1
1557393131,37,28
1557393784,112,84
1557395070,28,22
1557395244,68,320
1557396979,34,1378
1557397821,133,74
1557398892,52,30
1557399324,185,142
1557400828,591,0
1557402159,178,238
1557402756,55,29
1557403629,78,1
1557404653,48,24
1557405410,80,0
1557406568,60,24
1557408659,160,295
1557409527,135,26
1557410672,37,30
1557411328,112,101
1557412567,40,21
1557413345,97,156
1557414509,53,18
1557415256,808,523
1557416404,28,24
1557416720,66,0
1557417624,85,0
1557418578,49,19
1557418872,255,0
1557419422,95,139
1557420490,31,20
1557421225,64,343
1557422121,91,2
1557422441,46,23
1557424324,25,25
1557424824,254,0
1557426490,189,318
1557427888,256,50
1557428414,82,33
1557428423,255,0
1557429776,95,175
1557430351,45,24
1557432253,48,12
1557433064,193,389
1557433431,230,0
1557434188,37,21
1557436123,159,318
1557438011,37,28
1557438324,113,68
1557439933,87,27
1557440125,0,255
1557442607,196,351
1557444079,76,58
1557444514,501,0
1557446434,22,29
1557447357,165,227
1557447706,484,0
1557448338,18,19
1557448972,66,154
1557450277,16,21
1557451828,122,70
1557452175,22,32
1557452470,49,0
1557454122,20,27
1557454528,89,240
1557456014,116,14
1557458184,20,22
1557460122,25,19
1557460303,256,378
1557462024,24,14
1557462087,83,66
1557462858,91,0
1557463932,15,17
1557464429,59,0
1557465855,29,17
1557466228,104,281
1557467770,28,28
1557469710,257,245
1557470605,99,147
1557471655,41,22
1557471769,72,0
1557473556,52,21
1557475456,32,13
1557476447,228,335
1557477378,38,20
1557477457,124,0
1557479312,37,35
1557480216,79,0
1557481236,107,94
1557481529,78,58
1557483136,27,1327
