DateTime,AddedIPs,RemovedIPs
1556979723,1,0
1556980323,3,0
1556980923,1,0
1556982124,2,0
1556983323,15,0
1556984523,1,0
1556985723,3,0
1556986923,24,0
1556987523,13,0
1556988123,6,0
1556990523,1,0
1556991123,2,0
1556991723,9,0
1556992922,8,0
1556995323,5,0
1556996522,2,0
1556997122,1,0
1556997723,3,0
1556998923,3,0
1557000123,5,0
1557001323,4,0
1557002523,1,0
1557003722,2,0
1557004924,1,0
1557007323,2,0
1557008522,1,0
1557009123,2,0
1557009723,3,0
1557011523,20,0
1557012123,1,0
1557013323,2,0
1557014525,8,0
1557015723,1,0
1557016923,2,0
1557018122,1,0
1557019322,3,0
1557019923,4,0
1557020522,3,0
1557021723,3,0
1557022923,0,1
1557024123,15,0
1557024722,1,0
1557025322,3,0
1557025924,1,0
1557026523,31,1
1557027723,1,0
1557028322,5,0
1557028922,7,0
1557031923,14,0
1557032523,5,0
1557034322,10,0
1557034923,4,0
1557036122,2,0
1557037322,3,0
1557037924,1,0
1557038522,1,0
1557039723,3,0
1557040922,4,0
1557041522,4,0
1557042123,1,0
1557043323,1,0
1557044522,3,0
1557045123,1,0
1557045722,4,0
1557046922,1,0
1557048054,827,225
1557048123,4,0
1557049322,3,0
1557050523,3,0
1557051722,2,0
1557052923,1,0
1557054123,5,0
1557056523,4,0
1557057722,6,0
1557058323,9,0
1557060122,4,0
1557061322,2,0
1557063123,2,0
1557063723,13,0
1557064923,2,0
1557067323,1,0
1557067923,3,0
1557068523,1,0
1557069722,5,0
1557070322,1,0
1557070922,7,0
1557071522,5,0
1557072122,7,0
1557073323,8,0
1557073922,1,0
1557074523,2,0
1557076924,3,0
1557078123,1,0
1557078723,1,0
1557079322,3,0
1557081722,14,0
1557082922,4,0
1557084122,4,0
1557084724,2,0
1557085322,1,0
1557085922,4,0
1557086524,3,0
1557087723,3,0
1557088922,1,0
1557090122,2,0
1557090723,1,0
1557091323,5,0
1557092523,2,0
1557093723,1,0
1557094923,1,0
1557096123,2,0
1557097323,2,0
1557097923,2,0
1557098522,3,0
1557099722,1,0
1557100329,4,0
1557101523,1,0
1557102123,1,0
1557103322,2,0
1557103923,1,0
1557104522,2,0
1557105124,1,0
1557105722,1,0
1557106922,1,0
1557108722,1,0
1557109324,5,0
1557110523,2,0
1557111123,27,0
1557111725,1,0
1557112323,3,0
1557112923,2,0
1557113523,1,0
1557114122,1,0
1557114722,1,0
1557115323,1,0
1557117122,1,0
1557117723,1,0
1557118323,2,0
1557119523,6,0
1557121323,12,0
1557122522,4,0
1557123724,4,0
1557124322,3,0
1557124922,2,0
1557126123,3,0
1557127323,5,0
1557127922,1,0
1557128523,7,0
1557129123,18,0
1557129723,14,0
1557130922,1,0
1557132122,14,1
1557133322,8,0
1557133923,2,0
1557134522,0,1
1557135153,1021,192
1557135722,6,0
1557136923,2,0
1557138122,2,0
1557138722,2,0
1557139322,3,0
1557140523,2,0
1557141723,6,0
1557142923,1,0
1557145323,1,0
1557147723,1,0
1557148322,4,0
1557148922,7,0
1557150123,5,0
1557151322,5,0
1557151923,1,0
1557152523,1,0
1557153722,3,0
1557154323,18,0
1557154923,3,0
1557156123,22,0
1557156723,25,0
1557157322,1,2
1557157923,3,0
1557158522,4,1
1557159722,24,0
1557160322,20,0
1557160922,2,0
1557162124,6,0
1557162722,2,0
1557163322,1,0
1557165124,1,0
1557165722,1,0
1557166322,4,0
1557166922,3,0
1557167523,21,0
1557168123,16,0
1557169323,1,0
1557170523,3,0
1557171722,1,0
