DateTime,Entries,UniqueIPs
1557030610,9165,9165
1557031510,9149,9149
1557032410,9048,9048
1557033309,9023,9023
1557034211,9065,9065
1557035110,8913,8913
1557036009,8771,8771
1557036911,8546,8546
1557037811,8364,8364
1557038710,8281,8281
1557039611,8130,8130
1557040511,8199,8199
1557041409,8248,8248
1557042311,8225,8225
1557043210,8476,8476
1557044108,8657,8657
1557045011,8750,8750
1557045911,8886,8886
1557046809,8931,8931
1557047709,9022,9022
1557048610,9144,9144
1557049511,9202,9202
1557050410,9206,9206
1557051309,9204,9204
1557052210,9234,9234
1557053109,9017,9017
1557054011,8677,8677
1557054910,8398,8398
1557055811,8123,8123
1557056709,7791,7791
1557057610,7447,7447
1557058511,7141,7141
1557059411,6814,6814
1557060309,6629,6629
1557061209,6613,6613
1557062111,6523,6523
1557063010,6371,6371
1557063910,6391,6391
1557064809,6414,6414
1557065710,6331,6331
1557066611,6318,6318
1557067510,6199,6199
1557068410,6353,6353
1557069310,6399,6399
1557070209,6491,6491
1557071110,6567,6567
1557072011,6708,6708
1557072910,6653,6653
1557073810,6717,6717
1557074711,6824,6824
1557075611,6960,6960
1557076509,7195,7195
1557077410,7904,7904
1557078310,8390,8390
1557079209,8478,8478
1557080110,8581,8581
1557081009,8675,8675
1557081910,8784,8784
1557082808,8877,8877
1557083708,8947,8947
1557084610,9049,9049
1557085509,9138,9138
1557086408,9247,9247
1557087308,9372,9372
1557088209,9498,9498
1557089109,9652,9652
1557090008,9886,9886
1557090908,10520,10520
1557091808,11389,11389
1557092709,12115,12115
1557093608,12748,12748
1557094507,13248,13248
1557095408,13756,13756
1557096309,14207,14207
1557097208,14593,14593
1557098107,14978,14978
1557099008,15344,15344
1557099907,15600,15600
1557100808,15701,15701
1557101708,15881,15881
1557102608,16121,16121
1557103507,16353,16353
1557104406,16174,16174
1557105307,16189,16189
1557106207,16078,16078
1557107107,15930,15930
1557108007,15978,15978
1557108910,15812,15812
1557109810,15204,15204
1557110709,14704,14704
1557111607,14348,14348
1557112507,13912,13912
1557113406,13679,13679
1557114308,13376,13376
1557115206,13220,13220
1557116107,12838,12838
1557117006,12559,12559
1557117907,12339,12339
1557118806,12185,12185
1557119707,12049,12049
1557120606,11814,11814
1557121507,11782,11782
1557122406,11997,11997
1557123305,11804,11804
1557124205,11711,11711
1557125107,11465,11465
1557126006,11053,11053
1557126906,10644,10644
1557127806,10240,10240
1557128707,9766,9766
1557129607,9576,9576
1557130507,9454,9454
1557131408,9122,9122
1557132308,8640,8640
1557133207,8609,8609
1557134109,8257,8257
1557135008,8035,8035
1557135909,7738,7738
1557136808,7797,7797
1557137709,7731,7731
1557138608,7660,7660
1557139508,7553,7553
1557140408,7752,7752
1557141308,7945,7945
1557142208,8121,8121
1557143108,8179,8179
1557144008,8119,8119
1557144909,8266,8266
1557145809,8847,8847
1557146708,9139,9139
1557147609,9601,9601
1557148509,10095,10095
1557149409,10743,10743
1557150309,11360,11360
1557151210,11972,11972
1557152110,12332,12332
1557153008,12818,12818
1557153908,13049,13049
1557154809,13447,13447
1557155709,13917,13917
1557156608,14136,14136
1557157509,14290,14290
1557158409,14482,14482
1557159308,14762,14762
1557160209,14949,14949
1557161108,15105,15105
1557162010,15312,15312
1557162909,15185,15185
1557163808,15080,15080
1557164708,15257,15257
1557165609,15595,15595
1557166509,15633,15633
1557167409,15466,15466
1557168309,14966,14966
1557169208,14472,14472
1557170108,13923,13923
1557171009,13651,13651
1557171908,13469,13469
1557172810,13537,13537
1557173708,13347,13347
1557174609,13142,13142
1557175509,13013,13013
1557176408,12997,12997
1557177308,13015,13015
1557178208,12897,12897
1557179108,12750,12750
1557180008,12446,12446
1557180908,12268,12268
1557181807,12160,12160
1557182707,12190,12190
1557183608,11865,11865
1557184507,11739,11739
1557185407,11469,11469
1557186308,11515,11515
1557187208,11687,11687
1557188108,11516,11516
1557189008,11593,11593
1557189908,11582,11582
1557190808,11511,11511
1557191708,11457,11457
1557192608,11808,11808
1557193509,12226,12226
1557194408,12343,12343
1557195308,12433,12433
1557196208,12822,12822
1557197107,13315,13315
1557198009,13623,13623
1557198908,14077,14077
1557199808,14154,14154
1557200708,14294,14294
1557201608,14505,14505
1557202508,14610,14610
1557203409,14534,14534
1557204307,14748,14748
1557205208,14881,14881
1557206108,14833,14833
1557207008,14753,14753
1557207908,14670,14670
1557208807,14347,14347
1557209708,13882,13882
1557210608,13723,13723
1557211508,13504,13504
1557212409,13317,13317
1557213308,13306,13306
1557214208,13119,13119
1557215108,12746,12746
1557216008,12654,12654
1557216908,12366,12366
1557217808,12046,12046
1557218709,11597,11597
1557219610,11536,11536
1557220508,11290,11290
1557221409,10988,10988
1557222310,10737,10737
1557223209,10488,10488
1557224110,10298,10298
1557225008,9857,9857
1557225910,9816,9816
1557226809,9860,9860
1557227710,9718,9718
1557228610,9865,9865
1557229510,9978,9978
1557230411,10093,10093
1557231310,10185,10185
1557232210,10241,10241
1557233109,10226,10226
1557234010,10447,10447
1557234909,10698,10698
1557235810,10864,10864
1557236710,11094,11094
1557237609,11299,11299
1557238509,11369,11369
1557239410,11493,11493
1557240312,11331,11331
1557241210,11208,11208
1557242110,11067,11067
1557243010,10847,10847
1557243910,10954,10954
1557244810,11091,11091
1557245711,11005,11005
1557246613,11071,11071
1557247511,11015,11015
1557248413,11060,11060
1557249309,11193,11193
1557250210,11341,11341
1557251111,11570,11570
1557252011,11828,11828
1557252910,12134,12134
1557253813,12340,12340
1557254711,12620,12620
1557255611,12772,12772
1557256513,12825,12825
1557257413,12949,12949
1557258313,13145,13145
1557259211,12919,12919
1557260112,12851,12851
1557261012,12769,12769
1557261913,12815,12815
1557262810,12795,12795
1557263713,12835,12835
1557264612,12701,12701
1557265511,12522,12522
1557266413,12465,12465
1557267312,12485,12485
1557268212,12456,12456
1557269112,12493,12493
1557270010,12598,12598
1557270912,12397,12397
1557271811,12433,12433
1557272709,12550,12550
1557273611,12663,12663
1557274511,10779,10779
1557275411,8743,8743
1557276314,8679,8679
1557277214,6353,6353
1557278115,4648,4648
1557279014,4281,4281
1557279915,3534,3534
1557280817,2815,2815
1557281717,2451,2451
1557282617,2987,2987
1557283519,3095,3095
1557284419,3110,3110
1557285320,3290,3290
1557286222,2743,2743
1557287120,2598,2598
1557288026,2444,2444
1557288923,2702,2702
1557289823,2861,2861
