DateTime,AddedIPs,RemovedIPs
1557078723,3,0
1557079322,9,25
1557080522,8,8
1557081123,2,0
1557081722,32,41
1557082922,6,0
1557084122,7,8
1557084724,5,24
1557085322,5,15
1557085922,4,0
1557086524,5,6
1557087124,6,6
1557087723,5,8
1557088922,6,12
1557090122,3,6
1557090723,7,6
1557091323,4,0
1557092523,8,36
1557093723,3,0
1557094923,7,40
1557096123,6,5
1557096722,5,5
1557097323,5,2
1557097923,8,8
1557098522,7,0
1557099722,5,32
1557100323,14,0
1557100924,3,6
1557102123,5,15
1557103322,5,18
1557103923,4,18
1557104522,11,40
1557105124,2,9
1557105722,2,0
1557106323,4,12
1557106922,4,11
1557108123,5,18
1557108722,6,10
1557109324,8,3
1557109923,3,0
1557110523,8,24
1557111123,50,4
1557111725,4,12
1557112323,6,14
1557112923,6,0
1557113523,2,11
1557114122,4,7
1557114722,4,0
1557115323,6,13
1557116522,6,18
1557117122,2,9
1557117723,5,25
1557118323,4,16
1557118923,2,0
1557119523,9,21
1557120123,2,21
1557120723,6,19
1557121323,21,0
1557122522,5,33
1557123724,10,17
1557124322,12,29
1557124922,3,28
1557126123,4,16
1557127323,6,11
1557127922,8,7
1557128523,13,11
1557129123,45,0
1557129723,39,14
1557130922,9,0
1557131523,2,14
1557132122,23,10
1557133322,13,0
1557133923,8,26
1557134522,4,0
1557135722,10,43
1557136923,6,15
1557138122,3,15
1557138722,7,0
1557139322,9,27
1557140523,4,31
1557141723,15,24
1557142923,5,9
1557143522,7,0
1557144123,5,0
1557144723,2,8
1557145323,4,18
1557146523,3,0
1557147723,6,7
1557148322,11,0
1557148922,13,5
1557150123,10,2
1557151322,12,18
1557151923,6,0
1557152523,3,6
1557153722,6,23
1557154323,41,0
1557154923,6,15
1557156123,52,0
1557156723,48,58
1557157322,3,22
1557158522,13,10
1557159722,53,0
1557160322,45,16
1557160922,8,8
1557162124,11,10
1557162722,6,32
1557163322,3,0
1557164522,3,26
1557165124,5,4
1557165722,4,0
1557166322,6,21
1557166922,12,13
1557167523,39,0
1557168123,7,10
1557168722,5,2
1557169323,5,30
1557170523,12,0
1557171722,7,10
1557172922,8,10
1557173522,6,7
1557174122,4,0
1557175322,4,28
1557175922,6,0
1557176523,2,14
1557177122,3,10
1557177722,7,15
1557178323,5,11
1557178924,6,13
1557179523,7,6
1557180123,4,9
1557181323,4,0
1557181923,3,8
1557182522,10,11
1557183123,6,0
1557183723,4,0
1557184923,4,14
1557185522,4,0
1557186123,9,4
1557186722,1,4
1557187323,4,8
1557187922,9,0
1557188523,1,8
1557189723,8,8
1557190322,4,0
1557190923,8,8
1557192122,21,10
1557192723,16,59
1557193923,14,21
1557194523,1,11
1557195123,1,0
1557195723,5,10
1557196322,5,10
1557196923,2,0
1557198123,10,10
1557198724,6,10
1557199323,8,0
1557199922,9,3
1557200524,13,0
1557201123,1,16
1557201722,2,7
1557202323,7,0
1557202922,6,0
1557204123,5,35
1557204723,2,9
1557205323,5,0
1557205922,1,4
1557206524,5,0
1557207723,10,12
1557208322,9,10
1557208923,16,6
1557209523,13,7
1557210122,6,5
1557211322,29,0
1557212523,9,27
1557213123,8,20
1557213723,10,0
1557214322,11,6
1557214922,3,28
1557215522,7,8
1557216123,7,0
1557216723,10,13
1557217322,11,6
1557217923,8,0
1557218522,5,0
1557219723,5,25
1557220324,7,0
1557220922,19,18
1557222123,7,6
1557223322,11,18
1557224522,8,0
1557225722,3,21
1557226323,4,0
1557226923,16,0
1557228123,4,5
1557228723,6,7
1557229323,3,14
1557229923,2,0
1557230524,5,4
1557231722,8,8
1557232323,10,0
1557232923,9,1
1557233523,10,7
1557234122,6,0
1557234723,10,9
1557235323,6,6
1557235923,1,0
1557236523,12,0
1557237122,6,12
1557237723,5,0
1557238922,2,10
1557240123,2,24
1557241325,47,0
1557241922,50,4
1557242523,7,0
1557243723,53,13
1557244923,46,17
1557246123,7,0
1557247323,1,10
1557248523,6,13
1557249723,5,0
1557250923,3,15
1557252122,7,18
1557253322,1,0
1557253923,8,3
1557254523,4,0
1557255723,2,11
1557256922,23,3
1557257523,2,0
1557258122,4,10
1557259323,7,17
1557259922,3,7
1557260522,8,6
1557261723,3,28
1557262323,7,0
1557262922,6,4
1557264123,6,15
1557264723,1,14
1557265322,9,0
1557265922,4,10
1557266523,3,32
1557267722,6,62
1557268922,3,14
1557269522,5,0
1557270122,2,0
1557271323,6,9
1557272523,3,0
1557273123,39,0
1557273725,3,7
1557274923,4,0
1557275522,7,7
1557276123,8,4
1557276722,6,7
1557277323,3,0
1557277923,6,1
1557278522,3,7
1557279122,3,2
1557279722,11,14
1557280323,8,5
1557280923,13,0
