DateTime,AddedIPs,RemovedIPs
1556902923,3,0
1556904123,7,13
1556906522,1,2
1556907723,1,1
1556908923,17,9
1556909522,0,3
1556910124,1,3
1556910723,2,0
1556911322,3,1
1556911923,5,2
1556912522,4,0
1556913722,3,2
1556914923,2,2
1556916123,0,6
1556917322,2,2
1556918522,6,11
1556919722,3,1
1556920922,3,5
1556923323,3,12
1556925722,0,3
1556926923,0,3
1556928123,14,19
1556929323,8,5
1556930522,5,4
1556931723,3,0
1556932923,0,3
1556933522,1,0
1556935322,0,1
1556936522,8,1
1556937123,3,8
1556937722,20,0
1556938922,12,6
1556940122,1,1
1556940723,3,2
1556941322,1,0
1556942522,2,1
1556944922,5,8
1556945523,4,0
1556946122,1,0
1556947322,0,1
1556947922,2,0
1556948522,0,1
1556949722,2,0
1556950322,2,0
1556950922,2,0
1556952122,4,4
1556953322,1,0
1556954522,1,7
1556955122,2,0
1556956322,0,2
1556956922,0,3
1556957523,9,1
1556958122,5,0
1556959323,5,3
1556960524,2,0
1556961122,9,2
1556961723,11,0
1556962322,6,1
1556962923,4,5
1556965322,1,1
1556965922,1,2
1556967722,1,1
1556970122,0,2
1556971923,0,1
1556972522,1,0
1556973722,2,3
1556974922,1,0
1556975522,5,5
1556976122,1,0
1556977323,3,4
1556977922,2,0
1556980923,1,0
1556982124,5,3
1556983323,1,0
1556984522,2,11
1556985722,10,0
1556986923,2,9
1556988123,3,0
1556989322,1,1
1556990522,3,0
1556991723,6,1
1556992922,1,9
1556994122,0,16
1556995323,5,3
1556996522,3,0
1556997122,3,2
1556997722,4,0
1556998923,6,6
1557000123,3,7
1557001323,1,1
1557003722,1,0
1557004322,0,2
1557004923,6,0
1557006122,0,6
1557006723,6,1
1557007322,2,0
1557008522,0,1
1557009723,0,4
1557010923,0,3
1557012122,0,6
1557014525,3,4
1557015722,1,0
1557016923,4,0
1557018122,1,1
1557019322,2,0
1557021723,1,7
1557022922,3,7
1557024123,29,4
1557024722,1,0
1557025322,2,0
1557025924,2,0
1557026523,1,3
1557027723,0,6
1557028922,4,4
1557031323,4,0
1557031922,5,1
1557032522,2,0
1557034322,12,1
1557036122,2,0
1557037322,2,1
1557038522,1,3
1557039723,6,2
1557040922,3,4
1557041522,5,1
1557042123,1,0
1557043323,4,0
1557044522,16,0
1557045722,4,0
1557048123,4,1
1557049322,2,4
1557051123,1,0
1557051722,1,0
1557054123,4,1
1557055323,2,0
1557056523,3,0
1557057722,2,0
1557058323,0,1
1557058922,1,4
1557060122,2,0
1557061322,2,11
1557062522,0,5
1557063723,1,0
1557064923,3,6
1557066122,1,0
1557068523,6,0
1557069722,6,3
1557070922,8,11
1557072122,14,0
1557073323,2,4
1557075122,0,1
1557075722,0,3
1557076923,6,0
1557078123,3,4
1557079322,1,0
1557082922,4,4
1557083522,3,0
1557084122,2,0
1557085322,4,2
1557086524,2,1
1557091323,17,2
1557092522,0,1
1557093123,3,0
1557093722,0,1
1557094923,3,1
1557096122,1,0
1557097323,0,4
1557099722,0,1
1557101523,4,0
1557102123,0,9
1557103923,1,0
1557105722,1,0
1557106922,3,15
1557107523,1,0
1557109324,2,0
1557110522,4,6
1557111724,5,0
1557112323,2,5
1557113523,2,0
1557115323,1,0
1557117723,3,0
1557118923,4,1
1557120122,0,4
1557121322,25,0
1557122522,3,1
1557123723,2,0
1557124922,2,12
1557126122,4,4
1557127322,5,0
1557127922,0,5
1557129722,1,0
1557130922,2,3
1557132122,1,7
1557133322,0,2
1557134522,2,0
1557135722,2,3
1557138122,3,0
1557139322,1,0
1557140522,1,0
1557141123,0,1
1557141723,1,0
1557144123,0,3
1557145323,1,7
1557147723,0,14
1557148922,11,0
1557150122,4,2
1557151322,3,0
1557151923,1,0
1557152522,1,2
1557153722,1,2
1557154923,0,2
1557156122,6,1
1557157322,0,18
1557157923,5,0
1557160322,0,1
1557160922,0,3
1557162123,1,0
1557162722,4,4
1557163322,5,0
1557164522,1,3
1557165123,1,1
1557166322,0,2
1557168122,19,0
1557169323,3,3
1557170522,2,0
1557171722,6,14
1557172922,3,8
1557174122,0,6
1557175322,1,0
1557176523,4,1
1557177722,9,0
1557178322,10,1
1557178923,5,5
1557180123,2,0
1557181322,0,2
1557183722,0,3
1557184923,1,41
1557185522,1,0
1557186123,0,9
1557186722,3,0
1557187323,2,0
1557188522,1,3
1557189722,2,1
1557190322,2,0
1557190923,1,0
1557192723,1,2
1557193923,1,2
1557194523,4,0
1557195722,4,2
1557196322,4,0
1557196923,4,0
1557198123,2,3
1557198724,1,1
1557199322,0,1
1557200524,1,0
1557201122,1,0
1557202922,2,1
1557204122,8,1
1557204723,0,2
1557205323,4,4
1557206524,4,0
1557207722,2,2
1557208322,2,3
1557208922,2,5
1557209523,1,0
1557210122,2,0
1557212523,2,0
1557214922,2,3
1557216123,31,0
1557216723,2,1
1557217322,1,0
1557218522,2,1
1557219723,5,2
1557220324,1,1
1557220922,3,0
1557222123,0,11
1557222722,1,0
1557223322,1,0
1557224522,1,0
1557225722,0,3
1557226323,0,1
1557226923,0,1
1557229322,0,3
1557230524,0,5
1557231722,0,3
1557232923,1,4
1557234722,2,4
1557236523,0,1
1557237723,1,0
1557240123,2,4
1557241325,1,0
1557241922,2,4
1557242523,2,0
1557243723,0,2
1557244923,4,4
1557245523,2,0
1557246123,2,0
1557247323,1,0
1557249722,3,1
1557250923,1,5
1557252122,1,1
1557253322,0,2
1557254523,9,0
1557255723,4,1
1557256922,2,5
1557258122,4,0
1557259323,3,2
1557260522,0,1
1557261723,0,2
1557264123,33,2
1557265322,1,0
1557265922,2,1
1557266522,4,0
1557267722,1,4
1557268922,0,3
1557271323,1,3
1557272523,0,1
1557273724,4,3
1557274322,0,2
1557274923,2,0
1557276123,4,5
1557277322,0,4
1557280923,0,5
1557282124,7,0
1557283322,5,3
1557283923,5,0
1557284522,1,0
1557285723,1,2
1557286322,2,2
1557286922,0,4
1557287523,1,1
1557288123,0,2
1557289322,0,2
1557290523,7,2
1557291122,1,0
1557291723,0,1
1557292922,1,2
1557294122,8,4
1557296523,2,0
1557297723,1,1
1557298323,5,9
1557298922,2,14
1557300122,0,7
1557301322,1,0
